,naics_code,fiscal_year,base_and_all_options_value
51, OTHER TELECOMMUNICATIONS,2014.0,0.0
52, SATELLITE TELECOMMUNICATIONS,2010.0,0.0
53, TELECOMMUNICATIONS RESELLERS,2016.0,0.0
54, CELLULAR AND OTHER WIRELESS TELECOMMUNICATIONS,2010.0,0.0
55, WIRED TELECOMMUNICATIONS CARRIERS,2014.0,0.0
56, CLAY BUILDING MATERIAL AND REFRACTORIES MANUFACTURING,2014.0,0.0
57, LIBRARIES AND ARCHIVES,2012.0,0.0
58, INORGANIC DYE AND PIGMENT MANUFACTURING,2015.0,0.0
59, DATA PROCESSING SERVICES,2016.0,0.0
60, ALUMINUM EXTRUDED PRODUCT MANUFACTURING,2013.0,0.0
61, PIPELINE TRANSPORTATION OF CRUDE OIL,2016.0,0.0
62, SECONDARY MARKET FINANCING,2013.0,0.0
63, OTHER NONFERROUS FOUNDRIES (EXCEPT DIE-CASTING),2013.0,0.0
64," DATA PROCESSING, HOSTING, AND RELATED SERVICES",2011.0,0.0
65, WEB SEARCH PORTALS,2016.0,0.0
66, DUAL-PURPOSE CATTLE RANCHING AND FARMING,2015.0,0.0
67, NONFERROUS METAL DIE-CASTING FOUNDRIES,2014.0,0.0
68, INTERNET PUBLISHING AND BROADCASTING,2014.0,0.0
69, WEB SEARCH PORTALS,2014.0,0.0
70, WEB SEARCH PORTALS,2013.0,0.0
71, OTHER TELECOMMUNICATIONS,2014.0,0.0
72, SURFACE ACTIVE AGENT MANUFACTURING,2015.0,0.0
73, OTHER ALUMINUM ROLLING AND DRAWING,2016.0,0.0
74, OTHER ALUMINUM ROLLING AND DRAWING,2014.0,0.0
75, INTERNET PUBLISHING AND BROADCASTING,2016.0,0.0
76, INTERNET PUBLISHING AND BROADCASTING,2015.0,0.0
77, NONFERROUS (EXCEPT ALUMINUM) DIE-CASTING FOUNDRIES,2010.0,0.0
78, RESIDENTIAL INTELLECTUAL AND DEVELOPMENTAL DISABILITY FACILITIES,2016.0,0.0
79, FUR AND LEATHER APPAREL MANUFACTURING,2013.0,0.0
80," WATCH, CLOCK, AND PART MANUFACTURING",2016.0,0.0
81, HIGHWAY AND STREET CONSTRUCTION,2011.0,0.0
82, BUILDING EQUIPMENT AND OTHER MACHINERY INSTALLATION CONTRACTORS,2013.0,0.0
83, BUILDING EQUIPMENT AND OTHER MACHINERY INSTALLATION CONTRACTORS,2015.0,0.0
84, FRESH FRUIT AND VEGETABLE WHOLESALERS,2010.0,0.0
85, HIGHWAY AND STREET CONSTRUCTION,2010.0,0.0
86, PETROLEUM BULK STATIONS AND TERMINALS,2013.0,0.0
87, DIET AND WEIGHT REDUCING CENTERS,2015.0,0.0
88, STATIONERY AND OFFICE SUPPLIES WHOLESALERS,2016.0,0.0
89, PETROLEUM BULK STATIONS AND TERMINALS,2016.0,0.0
90," MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES WHOLESALERS",2015.0,0.0
91, COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,2016.0,0.0
92, MANUFACTURING AND INDUSTRIAL BUILDING CONSTRUCTION,2012.0,0.0
93," WATCH, CLOCK, AND PART MANUFACTURING",2014.0,0.0
94, SNACK AND NONALCOHOLIC BEVERAGE BARS,2015.0,0.0
95, MULTIFAMILY HOUSING CONSTRUCTION,2012.0,0.0
96, SUPPORT ACTIVITIES FOR COAL MINING,2014.0,0.0
97, NAIL SALONS,2012.0,0.0
98, JEWELRY (EXCEPT COSTUME) MANUFACTURING,2013.0,0.0
99, INDUSTRIAL MACHINERY AND EQUIPMENT WHOLESALERS,2016.0,0.0
100, CONCRETE CONTRACTORS,2011.0,0.0
101, BRIDGE AND TUNNEL CONSTRUCTION,2011.0,0.0
102, DRY PEA AND BEAN FARMING,2012.0,0.0
103," WATER, SEWER, AND PIPELINE CONSTRUCTION",2013.0,0.0
104, OTHER PROFESSIONAL EQUIPMENT AND SUPPLIES WHOLESALERS,2012.0,0.0
105, POWER AND COMMUNICATION TRANSMISSION LINE CONSTRUCTION,2011.0,0.0
106," ELECTRICAL APPARATUS AND EQUIPMENT, WIRING SUPPLIES, AND CONSTRUCTION MATERIAL WHOLESALERS",2012.0,0.0
107, POWER AND COMMUNICATION TRANSMISSION LINE CONSTRUCTION,2012.0,0.0
108, HIGHWAY AND STREET CONSTRUCTION,2012.0,0.0
109, ALL OTHER HEAVY CONSTRUCTION,2013.0,0.0
110, FLOOR LAYING AND OTHER FLOOR CONTRACTORS,2013.0,0.0
111, OTHER ELECTRONIC PARTS AND EQUIPMENT WHOLESALERS,2011.0,0.0
112, OTHER ELECTRONIC PARTS AND EQUIPMENT WHOLESALERS,2012.0,0.0
113, FURNITURE WHOLESALERS,2016.0,0.0
114, OTHER ELECTRONIC PARTS AND EQUIPMENT WHOLESALERS,2016.0,0.0
115, HIGHWAY AND STREET CONSTRUCTION,2013.0,0.0
116, INDUSTRIAL MACHINERY AND EQUIPMENT WHOLESALERS,2013.0,0.0
117, CARPENTRY CONTRACTORS,2011.0,0.0
118, SNACK AND NONALCOHOLIC BEVERAGE BARS,2013.0,0.0
119, OFFICE EQUIPMENT WHOLESALERS,2014.0,0.0
120, OTHER GAMBLING INDUSTRIES,2015.0,0.0
121, ELECTRONIC RESISTOR MANUFACTURING,2015.0,0.0
122, COMPUTER AND PERIPHERAL EQUIPMENT MANUFACTURING,2016.0,0.0
123, ELECTRONIC RESISTOR MANUFACTURING,2016.0,0.0
124, NUCLEAR ELECTRIC POWER GENERATION,2015.0,0.0
125," WOOD TELEVISION, RADIO, AND SEWING MACHINE CABINET MANUFACTURING",2013.0,0.0
126, SKIING FACILITIES,2014.0,0.0
127, ELECTRONIC RESISTOR MANUFACTURING,2014.0,0.0
128, FULL-SERVICE RESTAURANTS,2016.0,0.0
129, SNACK AND NONALCOHOLIC BEVERAGE BARS,2010.0,0.0
130, OTHER OILSEED PROCESSING,2015.0,0.0
131, SOYBEAN PROCESSING,2013.0,0.0
132, CONFECTIONERY MERCHANT WHOLESALERS,2014.0,0.0
133, CASINOS (EXCEPT CASINO HOTELS),2014.0,0.0
134, POLITICAL ORGANIZATIONS,2010.0,0.0
135, SPRING (HEAVY GAUGE) MANUFACTURING,2013.0,0.41
136, SPRING (HEAVY GAUGE) MANUFACTURING,2010.0,10.58
137, CREDIT CARD ISSUING,2016.0,35.0
138, TOY AND HOBBY GOODS AND SUPPLIES MERCHANT WHOLESALERS,2014.0,73.5
139, GUM AND WOOD CHEMICAL MANUFACTURING,2010.0,103.77
140, LUGGAGE MANUFACTURING,2014.0,187.9
141, FULL-SERVICE RESTAURANTS,2015.0,294.0
142, CLAY REFRACTORY MANUFACTURING,2010.0,308.16
143, DANCE COMPANIES,2010.0,350.0
144, RECORD PRODUCTION,2016.0,374.0
145, PAPER INDUSTRY MACHINERY MANUFACTURING,2013.0,399.32
146, GRAIN AND FIELD BEAN MERCHANT WHOLESALERS,2016.0,418.5
147, NONCELLULOSIC ORGANIC FIBER MANUFACTURING,2010.0,457.5
148, COMMODITY CONTRACTS DEALING,2012.0,458.05
149, COPPER ORE AND NICKEL ORE MINING,2015.0,538.92
150, STEEL FOUNDRIES (EXCEPT INVESTMENT),2014.0,542.5
151, STEEL INVESTMENT FOUNDRIES,2010.0,714.0
152, BEAUTY SALONS,2010.0,720.0
153, THREAD MILLS,2016.0,912.0
154, SPRING MANUFACTURING,2012.0,926.64
155, GOLF COURSES AND COUNTRY CLUBS,2013.0,928.0
156, ALL OTHER MOTOR VEHICLE DEALERS,2015.0,1000.0
157, REAL ESTATE INVESTMENT TRUSTS,2011.0,1029.7
158, OFFICES OF BANK HOLDING COMPANIES,2012.0,1050.0
159, ALL OTHER SPECIAL TRADE CONTRACTORS,2010.0,1101.42
160, INDUSTRIAL MOLD MANUFACTURING,2014.0,1300.0
161, PAPERBOARD MILLS,2014.0,1397.0
162, DRY PEA AND BEAN FARMING,2011.0,1420.75
163, ALUMINUM FOUNDRIES (EXCEPT DIE-CASTING),2014.0,1500.0
164, OPEN-END INVESTMENT FUNDS,2011.0,1500.0
165, HARDWARE WHOLESALERS,2010.0,1560.55
166, OFFICES OF BANK HOLDING COMPANIES,2013.0,1600.0
167, COMMUNITY FOOD SERVICES,2014.0,1758.75
168, HUMAN RIGHTS ORGANIZATIONS,2014.0,1800.0
169, PHOSPHATIC FERTILIZER MANUFACTURING,2016.0,2395.0
170, VEHICULAR LIGHTING EQUIPMENT MANUFACTURING,2014.0,2567.32
171," EXECUTIVE AND LEGISLATIVE OFFICES, COMBINED",2014.0,2634.65
172, ADMINISTRATION OF VETERANS' AFFAIRS,2016.0,2818.0
173, CARBON BLACK MANUFACTURING,2011.0,2900.0
174, OTHER NONFERROUS FOUNDRIES (EXCEPT DIE-CASTING),2010.0,2998.0
175, MEN'S AND BOYS' NECKWEAR MANUFACTURING,2012.0,3027.5
176, MOTOR VEHICLE AIR-CONDITIONING MANUFACTURING,2015.0,3034.08
177, SECURITIES AND COMMODITY EXCHANGES,2014.0,3040.51
178," COMMERCIAL LAUNDRY, DRYCLEANING, AND PRESSING MACHINE MANUFACTURING",2014.0,3111.52
179, GEOTHERMAL ELECTRIC POWER GENERATION,2013.0,3132.97
180, TIRE CORD AND TIRE FABRIC MILLS,2010.0,3139.6
181, CABLE AND OTHER PROGRAM DISTRIBUTION,2010.0,3159.36
182, BEER AND ALE MERCHANT WHOLESALERS,2013.0,3172.24
183, SHEEP FARMING,2010.0,3190.0
184, URANIUM-RADIUM-VANADIUM ORE MINING,2012.0,3210.0
185, SYNTHETIC ORGANIC DYE AND PIGMENT MANUFACTURING,2013.0,3243.0
186, TELEMARKETING BUREAUS AND OTHER CONTACT CENTERS,2010.0,3280.0
187, MALT MANUFACTURING,2011.0,3282.18
188, SAWMILL AND WOODWORKING MACHINERY MANUFACTURING,2015.0,3288.0
189, IRON ORE MINING,2012.0,3305.05
190, COMMODITY CONTRACTS BROKERAGE,2010.0,3395.0
191, COATED AND LAMINATED PAPER MANUFACTURING,2014.0,3448.29
192, SHELLFISH FARMING,2011.0,3468.0
193, INDUSTRIAL SAND MINING,2014.0,3474.26
194, FRUIT AND TREE NUT COMBINATION FARMING,2015.0,3490.36
195, PAPER BAG AND COATED AND TREATED PAPER MANUFACTURING,2012.0,3495.36
196, OTHER FOOD CROPS GROWN UNDER COVER,2015.0,3498.2
197, FUR-BEARING ANIMAL AND RABBIT PRODUCTION,2010.0,3500.0
198, MANUFACTURED (MOBILE) HOME DEALERS,2016.0,3503.08
199, ALL OTHER LEATHER GOOD AND ALLIED PRODUCT MANUFACTURING,2012.0,3552.05
200, BRICK AND STRUCTURAL CLAY TILE MANUFACTURING,2013.0,3553.12
201, FOOTWEAR AND LEATHER GOODS REPAIR,2015.0,3555.57
202," YARN TEXTURIZING, THROWING, AND TWISTING MILLS",2011.0,3626.37
203, ETHYL ALCOHOL MANUFACTURING,2016.0,3654.7599999999998
204, LIMITED-SERVICE RESTAURANTS,2015.0,3704.15
205, ONE-HOUR PHOTOFINISHING,2016.0,3707.0
206, POLITICAL ORGANIZATIONS,2015.0,3725.0
207," BEER, WINE, AND LIQUOR STORES",2016.0,3726.0
208, AUTOMOTIVE EXHAUST SYSTEM REPAIR,2016.0,3729.06
209, FORMAL WEAR AND COSTUME RENTAL,2014.0,3746.54
210, BUSINESS AND SECRETARIAL SCHOOLS,2014.0,3800.0
211, CARBON BLACK MANUFACTURING,2012.0,3825.0
212, TURKEY PRODUCTION,2015.0,3960.0
213, SUGAR BEET FARMING,2015.0,4000.0
214, AMUSEMENT AND THEME PARKS,2016.0,4014.0
215, TEXTILE MACHINERY MANUFACTURING,2014.0,4028.59
216, OTHER FOOTWEAR MANUFACTURING,2014.0,4030.5
217, AUTOMATIC VENDING MACHINE MANUFACTURING,2014.0,4059.48
218, MOTOR VEHICLE METAL STAMPING,2014.0,4096.32
219, FLAT GLASS MANUFACTURING,2014.0,4168.0
220, ALL OTHER GRAIN FARMING,2014.0,4200.0
221," TRUSTS, ESTATES, AND AGENCY ACCOUNTS",2013.0,4200.0
222, GRAPE VINEYARDS,2013.0,4210.29
223, DOG AND CAT FOOD MANUFACTURING,2014.0,4326.0
224, TRUSS MANUFACTURING,2014.0,4350.0
225, WET CORN MILLING,2010.0,4400.0
226, BITUMINOUS COAL AND LIGNITE SURFACE MINING,2015.0,4418.08
227, OTHER ELECTRONIC PARTS AND EQUIPMENT WHOLESALERS,2010.0,4445.0
228, FUR-BEARING ANIMAL AND RABBIT PRODUCTION,2014.0,4500.0
229, RACETRACKS,2014.0,4541.6
230, LIME MANUFACTURING,2015.0,4550.0
231, COMMODITY CONTRACTS BROKERAGE,2015.0,4595.76
232, FINE ARTS SCHOOLS,2014.0,4680.0
233, MUSICAL INSTRUMENT MANUFACTURING,2010.0,4683.990000000001
234, BED-AND-BREAKFAST INNS,2010.0,4729.92
235, SKIING FACILITIES,2016.0,4760.0
236," PRERECORDED TAPE, COMPACT DISC, AND RECORD STORES",2010.0,4769.0
237, OTHER TOBACCO PRODUCT MANUFACTURING,2011.0,4858.33
238, TOBACCO AND TOBACCO PRODUCT MERCHANT WHOLESALERS,2013.0,4883.68
239, OTHER PRESSED AND BLOWN GLASS AND GLASSWARE MANUFACTURING,2014.0,4915.59
240," POTASH, SODA, AND BORATE MINERAL MINING",2012.0,4937.02
241, JEWELERS' MATERIAL AND LAPIDARY WORK MANUFACTURING,2013.0,4980.88
242, KAOLIN AND BALL CLAY MINING,2012.0,4982.6
243, ALL OTHER PIPELINE TRANSPORTATION,2015.0,5000.0
244, IRON ORE MINING,2015.0,5067.78
245, TOBACCO AND TOBACCO PRODUCT MERCHANT WHOLESALERS,2011.0,5086.18
246, DRY PEA AND BEAN FARMING,2010.0,5149.0
247, GOLD ORE MINING,2011.0,5160.0
248, LUGGAGE AND LEATHER GOODS STORES,2016.0,5219.36
249, MOTOR VEHICLE TRANSMISSION AND POWER TRAIN PARTS MANUFACTURING,2014.0,5227.14
250, NEW HOUSING FOR-SALE BUILDERS,2014.0,5245.0
251, INTERNATIONAL TRADE FINANCING,2012.0,5310.0
252, BEAUTY SALONS,2012.0,5400.0
253," SCENIC AND SIGHTSEEING TRANSPORTATION, OTHER",2016.0,5440.0
254, AUTOMOTIVE EXHAUST SYSTEM REPAIR,2015.0,5441.56
255," ELECTRICAL APPLIANCE, TELEVISION, AND RADIO SET WHOLESALERS",2012.0,5448.74
256, SHORT LINE RAILROADS,2010.0,5475.0
257, SKIING FACILITIES,2010.0,5500.0
258, SECONDARY MARKET FINANCING,2016.0,5515.4
259, SHORT LINE RAILROADS,2014.0,5536.39
260, OILSEED AND GRAIN COMBINATION FARMING,2016.0,5549.7
261, COPPER ORE AND NICKEL ORE MINING,2012.0,5588.0
262, GENERAL LINE GROCERY WHOLESALERS,2012.0,5598.39
263, SNACK AND NONALCOHOLIC BEVERAGE BARS,2014.0,5600.0
264, SAVINGS INSTITUTIONS,2010.0,5642.5
265, SALES FINANCING,2014.0,5643.86
266, LUGGAGE AND LEATHER GOODS STORES,2014.0,5666.28
267, CONSUMER LENDING,2011.0,5700.0
268, TREE NUT FARMING,2014.0,5732.7
269, ALUMINA REFINING,2010.0,5773.14
270, SECONDARY SMELTING AND ALLOYING OF ALUMINUM,2014.0,5810.71
271, HOUSE SLIPPER MANUFACTURING,2013.0,5823.0
272, PETROCHEMICAL MANUFACTURING,2014.0,5850.0
273, CONVENIENCE STORES,2013.0,5872.92
274, CITRUS (EXCEPT ORANGE) GROVES,2011.0,5890.1
275, CONFECTIONERY AND NUT STORES,2013.0,5894.4
276, APPLE ORCHARDS,2014.0,5914.13
277, NUCLEAR ELECTRIC POWER GENERATION,2016.0,5925.74
278, POSTHARVEST CROP ACTIVITIES (EXCEPT COTTON GINNING),2014.0,5952.48
279," POTASH, SODA, AND BORATE MINERAL MINING",2015.0,6000.0
280, BITUMINOUS COAL AND LIGNITE SURFACE MINING,2014.0,6000.0
281, SNACK AND NONALCOHOLIC BEVERAGE BARS,2013.0,6000.0
282, PIPELINE TRANSPORTATION OF REFINED PETROLEUM PRODUCTS,2015.0,6060.0
283, IRON ORE MINING,2011.0,6080.0
284, PHOSPHATIC FERTILIZER MANUFACTURING,2014.0,6200.0
285, POULTRY AND POULTRY PRODUCT MERCHANT WHOLESALERS,2014.0,6232.2
286, AMUSEMENT ARCADES,2011.0,6300.0
287, TURKEY PRODUCTION,2013.0,6346.55
288, SHELLFISH FARMING,2012.0,6372.64
289, POTATO FARMING,2015.0,6402.039999999999
290, BROILERS AND OTHER MEAT TYPE CHICKEN PRODUCTION,2013.0,6454.0
291, YARN SPINNING MILLS,2014.0,6544.0
292, FORMAL WEAR AND COSTUME RENTAL,2015.0,6545.45
293, HOUSEHOLD APPLIANCE STORES,2014.0,6634.11
294, PRIMARY SMELTING AND REFINING OF NONFERROUS METAL (EXCEPT COPPER AND ALUMINUM),2016.0,6664.62
295, MOTION PICTURE THEATERS (EXCEPT DRIVE-INS),2014.0,6698.87
296, APPLE ORCHARDS,2016.0,6792.0
297, COMPUTER TERMINAL MANUFACTURING,2014.0,6931.09
298, GRAPE VINEYARDS,2012.0,6934.71
299, FLOOR LAYING AND OTHER FLOOR CONTRACTORS,2015.0,6972.0
300, DANCE COMPANIES,2014.0,7000.0
301, INDUSTRIAL MACHINERY AND EQUIPMENT WHOLESALERS,2015.0,7000.0
302, ALUMINUM EXTRUDED PRODUCT MANUFACTURING,2015.0,7010.0
303, SYNTHETIC DYE AND PIGMENT MANUFACTURING,2014.0,7048.5
304, DANCE COMPANIES,2013.0,7067.0
305, LAMINATED ALUMINUM FOIL MANUFACTURING FOR FLEXIBLE PACKAGING USES,2010.0,7131.92
306, PHOTOFINISHING LABORATORIES (EXCEPT ONE-HOUR),2016.0,7252.72
307, DANCE COMPANIES,2015.0,7284.87
308, INTERNATIONAL TRADE FINANCING,2010.0,7293.44
309, RICE FARMING,2016.0,7388.98
310," CORPORATE, SUBSIDIARY, AND REGIONAL MANAGING OFFICES",2015.0,7410.0
311, PHOSPHATIC FERTILIZER MANUFACTURING,2012.0,7500.0
312, THEATER COMPANIES AND DINNER THEATERS,2014.0,7500.0
313, FLOOR LAYING AND OTHER FLOOR CONTRACTORS,2011.0,7503.06
314," MEN'S AND BOYS' CUT AND SEW SUIT, COAT, AND OVERCOAT MANUFACTURING",2014.0,7522.639999999999
315, STATIONERY PRODUCT MANUFACTURING,2012.0,7523.5
316, FISH AND SEAFOOD MERCHANT WHOLESALERS,2014.0,7529.3
317, CHILDREN'S AND INFANTS' CLOTHING STORES,2012.0,7533.35
318, OTHER ALUMINUM ROLLING AND DRAWING,2013.0,7552.7
319, CUTLERY AND FLATWARE (EXCEPT PRECIOUS) MANUFACTURING,2016.0,7614.15
320, MALT MANUFACTURING,2012.0,7629.07
321, CREAMERY BUTTER MANUFACTURING,2013.0,7655.0
322, POULTRY HATCHERIES,2014.0,7768.0599999999995
323, PHOSPHATIC FERTILIZER MANUFACTURING,2010.0,7875.0
324, SHELLFISH FISHING,2015.0,8000.0
325, OTHER SPECTATOR SPORTS,2010.0,8000.0
326, RICE FARMING,2014.0,8000.0
327," YARN TEXTURIZING, THROWING, AND TWISTING MILLS",2012.0,8004.0
328, OTHER PERFORMING ARTS COMPANIES,2010.0,8007.6
329, WOMEN'S CLOTHING STORES,2014.0,8045.0
330, OTHER GAMBLING INDUSTRIES,2013.0,8049.34
331, CELLULAR AND OTHER WIRELESS TELECOMMUNICATIONS,2014.0,8064.0
332," TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES",2016.0,8154.0
333, WOMEN'S AND GIRLS' CUT AND SEW DRESS MANUFACTURING,2011.0,8164.6
334, TURKEY PRODUCTION,2016.0,8189.469999999999
335, FRUIT AND VEGETABLE MARKETS,2015.0,8337.98
336, BREWERIES,2013.0,8339.779999999999
337, ALL OTHER SPECIALTY FOOD STORES,2014.0,8423.36
338, MONETARY AUTHORITIES - CENTRAL BANK,2014.0,8460.0
339, COMMODITY CONTRACTS DEALING,2016.0,8484.880000000001
340, OTHER STRUCTURAL CLAY PRODUCT MANUFACTURING,2010.0,8586.0
341, WOMEN'S AND GIRLS' CUT AND SEW DRESS MANUFACTURING,2010.0,8586.310000000001
342, ALL OTHER HEAVY CONSTRUCTION,2012.0,8744.0
343, COSTUME JEWELRY AND NOVELTY MANUFACTURING,2013.0,8775.45
344, BOWLING CENTERS,2016.0,8852.7
345, PRIMARY SMELTING AND REFINING OF COPPER,2010.0,8993.6
346, BEAUTY SALONS,2014.0,9032.53
347, OTHER PROFESSIONAL EQUIPMENT AND SUPPLIES WHOLESALERS,2015.0,9120.0
348, INORGANIC DYE AND PIGMENT MANUFACTURING,2011.0,9199.9
349, FURNITURE WHOLESALERS,2014.0,9216.67
350, MEAT MARKETS,2015.0,9240.0
351, MEAT MARKETS,2014.0,9250.0
352, MUSIC PUBLISHERS,2014.0,9333.0
353, WINERIES,2010.0,9355.52
354, CELLULOSIC ORGANIC FIBER MANUFACTURING,2010.0,9405.0
355, MALT MANUFACTURING,2015.0,9438.0
356, AUTOMOTIVE EXHAUST SYSTEM REPAIR,2010.0,9438.82
357," YARN TEXTURIZING, THROWING, AND TWISTING MILLS",2010.0,9467.15
358," KITCHEN UTENSIL, POT, AND PAN MANUFACTURING",2015.0,9468.0
359, METAL HEAT TREATING,2010.0,9500.0
360, BEAUTY SALONS,2011.0,9546.619999999999
361, RACETRACKS,2016.0,9600.0
362, CHOCOLATE AND CONFECTIONERY MANUFACTURING FROM CACAO BEANS,2010.0,9725.65
363," STATIONERY, TABLET, AND RELATED PRODUCT MANUFACTURING",2016.0,9840.0
364," WOOD TELEVISION, RADIO, AND SEWING MACHINE CABINET MANUFACTURING",2010.0,9854.96
365, GREETING CARD PUBLISHERS,2013.0,9979.2
366, GRAPE VINEYARDS,2010.0,10000.0
367, SKIING FACILITIES,2015.0,10000.0
368, OFFICES OF OTHER HOLDING COMPANIES,2016.0,10000.0
369, INTERNATIONAL TRADE FINANCING,2011.0,10000.0
370, SHELLFISH FARMING,2010.0,10000.0
371, OTHER FOOTWEAR MANUFACTURING,2016.0,10041.84
372, SECURITIES BROKERAGE,2010.0,10089.63
373, PEANUT FARMING,2013.0,10132.68
374," SEWING, NEEDLEWORK, AND PIECE GOODS STORES",2010.0,10133.48
375, SHEER HOSIERY MILLS,2011.0,10140.0
376, BRICK AND STRUCTURAL CLAY TILE MANUFACTURING,2010.0,10229.39
377," METAL CROWN, CLOSURE, AND OTHER METAL STAMPING (EXCEPT AUTOMOTIVE)",2014.0,10240.0
378, OILSEED AND GRAIN COMBINATION FARMING,2014.0,10266.59
379, DUAL-PURPOSE CATTLE RANCHING AND FARMING,2013.0,10309.0
380," WOMEN'S AND GIRLS' CUT AND SEW SUIT, COAT, TAILORED JACKET, AND SKIRT MANUFACTURING",2010.0,10377.82
381, DRINKING PLACES (ALCOHOLIC BEVERAGES),2014.0,10415.56
382, WHEAT FARMING,2016.0,10425.0
383, METAL CAN MANUFACTURING,2014.0,10454.36
384, CHOCOLATE AND CONFECTIONERY MANUFACTURING FROM CACAO BEANS,2014.0,10501.2
385, BROILERS AND OTHER MEAT TYPE CHICKEN PRODUCTION,2014.0,10538.09
386, LESSORS OF NONFINANCIAL INTANGIBLE ASSETS (EXCEPT COPYRIGHTED WORKS),2010.0,10549.0
387, JEWELRY STORES,2013.0,10563.5
388, JEWELRY STORES,2015.0,10575.0
389, COPPER FOUNDRIES (EXCEPT DIE-CASTING),2010.0,10725.96
390, CONVENTION AND VISITORS BUREAUS,2014.0,10803.07
391, POTATO FARMING,2013.0,10864.14
392, CONFECTIONERY AND NUT STORES,2010.0,10953.77
393, PAROLE OFFICES AND PROBATION OFFICES,2011.0,10964.5
394, OTHER URBAN TRANSIT SYSTEMS,2010.0,10967.74
395, OTHER GAMBLING INDUSTRIES,2012.0,11085.0
396," SEWING, NEEDLEWORK, AND PIECE GOODS STORES",2014.0,11088.13
397, RICE FARMING,2012.0,11100.0
398, POULTRY HATCHERIES,2015.0,11160.0
