,agency_index,fiscal_year,base_and_all_options_value
219, Millennium Challenge Corporation,2012.0,95040633.51
220, EXECUTIVE OFFICE OF THE PRESIDENT,2013.0,96320402.57000002
221, COMMODITY FUTURES TRADING COMMISSION,2013.0,96436152.83
222, GOVERNMENT ACCOUNTABILITY OFFICE,2013.0,99283458.10999997
223, Federal Trade Commission,2013.0,99938449.79000005
224, EXECUTIVE OFFICE OF THE PRESIDENT,2011.0,103670726.49000008
225, FEDERAL COMMUNICATIONS COMMISSION,2011.0,107849019.23000002
226, SMALL BUSINESS ADMINISTRATION,2013.0,108151488.92999999
227, INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO,2010.0,112170127.80999993
228, Smithsonian Institution,2016.0,114852129.53000002
229, Broadcasting Board of Governors,2011.0,118355423.61
230, Smithsonian Institution,2010.0,119559887.46999995
231, NATIONAL SCIENCE FOUNDATION,2015.0,119748624.38
232, FEDERAL COMMUNICATIONS COMMISSION,2012.0,127146936.87
233, FEDERAL COMMUNICATIONS COMMISSION,2015.0,131098647.61
234, EXECUTIVE OFFICE OF THE PRESIDENT,2015.0,134089357.00000007
235, NATIONAL SCIENCE FOUNDATION,2012.0,137643031.10000005
236, NATIONAL SCIENCE FOUNDATION,2013.0,138720856.9699999
237, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2012.0,140341541.70000005
238, SMALL BUSINESS ADMINISTRATION,2012.0,142579753.18
239, SMALL BUSINESS ADMINISTRATION,2015.0,151819745.09999996
240, SMALL BUSINESS ADMINISTRATION,2011.0,153646314.86000007
241, NATIONAL SCIENCE FOUNDATION,2011.0,154717509.07
242," EDUCATION, DEPARTMENT OF",2015.0,156754154.54000005
243, Securities and Exchange Commission,2016.0,156958556.65000004
244, PENSION BENEFIT GUARANTY CORPORATION,2011.0,160041600.01000008
245, PENSION BENEFIT GUARANTY CORPORATION,2010.0,161438405.05999994
246, Broadcasting Board of Governors,2012.0,168166534.61999995
247, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2011.0,171923123.4800001
248, Millennium Challenge Corporation,2011.0,175256041.02000004
249, OFFICE OF PERSONNEL MANAGEMENT,2016.0,179341208.1000002
250, PENSION BENEFIT GUARANTY CORPORATION,2012.0,193436454.31999996
251, Department of Homeland Security,2014.0,206325257.6300001
252, PENSION BENEFIT GUARANTY CORPORATION,2014.0,206906244.44000003
253, PENSION BENEFIT GUARANTY CORPORATION,2013.0,221845398.09
254, NUCLEAR REGULATORY COMMISSION,2015.0,221979070.38000023
255, NUCLEAR REGULATORY COMMISSION,2013.0,244767410.84999985
256, Smithsonian Institution,2012.0,252561402.1900002
257, Smithsonian Institution,2011.0,255023327.56000006
258, Smithsonian Institution,2013.0,271681104.73000014
259, Department of the Treasury,2014.0,297187685.6800001
260, NUCLEAR REGULATORY COMMISSION,2011.0,300456262.94
261, Securities and Exchange Commission,2011.0,300833818.48
262, NUCLEAR REGULATORY COMMISSION,2012.0,302516965.48999995
263, U.S. Agency for International Development,2016.0,304947287.1800001
264, NUCLEAR REGULATORY COMMISSION,2010.0,325471381.43
265, Smithsonian Institution,2015.0,328887750.1099996
266," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2016.0,336865260.16999996
267, Securities and Exchange Commission,2012.0,382952443.9899999
268," EDUCATION, DEPARTMENT OF",2016.0,397889923.57999957
269, Department of Defense,2010.0,399899268.3599998
270," EDUCATION, DEPARTMENT OF",2013.0,422033565.53999996
271, Securities and Exchange Commission,2013.0,423081025.74999994
272, Social Security Administration,2016.0,447512207.2299999
273, Securities and Exchange Commission,2015.0,463636452.0899999
274, Department of Energy,2015.0,505254657.4099999
275, Environmental Protection Agency,2016.0,549713619.1099993
276," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2012.0,552119184.4800003
277, OFFICE OF PERSONNEL MANAGEMENT,2010.0,561300054.9400004
278, Social Security Administration,2010.0,571560573.0899996
279,,2016.0,646403126.2399998
280, OFFICE OF PERSONNEL MANAGEMENT,2013.0,659102039.7599999
281, Department of Energy,2016.0,686653293.1299994
282, OFFICE OF PERSONNEL MANAGEMENT,2015.0,744258372.0700005
283," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2011.0,778580769.5400008
284, Department of Labor,2016.0,872155010.4600002
285, Social Security Administration,2012.0,877993836.6500036
286, Social Security Administration,2013.0,878411926.2700013
287," EDUCATION, DEPARTMENT OF",2011.0,913688087.9200011
288," EDUCATION, DEPARTMENT OF",2012.0,956889735.0800002
289, Social Security Administration,2011.0,983846689.7999998
290, Social Security Administration,2015.0,985100501.0999985
291, U.S. Agency for International Development,2015.0,1025276701.7499994
292, OFFICE OF PERSONNEL MANAGEMENT,2012.0,1044378736.8100008
293, Department of Veterans Affairs,2014.0,1070742507.7399979
294, OFFICE OF PERSONNEL MANAGEMENT,2011.0,1090620538.8500006
295,,2012.0,1103986290.0500004
296,,2010.0,1152842302.0299993
297,,2013.0,1240046998.7000015
298, National Aeronautics and Space Administration,2013.0,1254169254.5500002
299, Department of Commerce,2016.0,1285014205.7599995
300, Environmental Protection Agency,2015.0,1290423067.0199997
301,,2011.0,1314034432.129997
302,,2015.0,1361925543.6900008
303, Environmental Protection Agency,2013.0,1377218795.799999
304,,2014.0,1427845011.7000005
305, U.S. Agency for International Development,2013.0,1431388339.6400025
306, Environmental Protection Agency,2012.0,1440171398.9100003
307, Department of Defense,2014.0,1455031883.2200003
308, Department of the Treasury,2016.0,1482491565.3499968
309, National Aeronautics and Space Administration,2016.0,1522356869.39
310, Department of the Interior ,2016.0,1536439947.9000013
311, U.S. Agency for International Development,2012.0,1556673476.2199988
312, Department of State,2014.0,1600663467.5900075
313, Department of Energy,2013.0,1607927431.8999982
314, National Aeronautics and Space Administration,2015.0,1614345334.039999
315," TRANSPORTATION, DEPARTMENT OF",2016.0,1630292764.2500021
316, Department of Labor,2011.0,1698236289.8800051
317," AGRICULTURE, DEPARTMENT OF",2016.0,1740946348.8700037
318, U.S. Agency for International Development,2011.0,1763399350.1299994
319, Department of Labor,2014.0,1767297866.5200002
320, Department of Labor,2010.0,1781895779.3200004
321, Department of Labor,2013.0,1906998334.1600041
322, Department of Commerce,2014.0,1911288757.8499966
323," TRANSPORTATION, DEPARTMENT OF",2015.0,1970540593.0400023
324, Department of Labor,2012.0,1972163761.3699975
325, Environmental Protection Agency,2011.0,2069299737.58
326, Department of State,2016.0,2107090307.2900097
327, Department of Labor,2015.0,2133604184.3600001
328, Department of Justice,2016.0,2175787080.8799896
329, Department of Energy,2012.0,2244147748.2400036
330, Department of Energy,2011.0,2411268766.1699963
331, Department of Commerce,2013.0,2471685417.479996
332, Department of the Treasury,2010.0,2515026292.429999
333, Department of Commerce,2011.0,2569571555.650007
334, Department of Commerce,2012.0,2663998703.200001
335, Department of the Interior ,2010.0,2794969314.010011
336, Department of Homeland Security,2016.0,2886297442.2199993
337, Department of the Interior ,2014.0,2913305349.9799957
338, Department of Homeland Security,2015.0,2932915120.7900004
339, Department of Commerce,2010.0,2939276857.7199945
340, General Services Administration,2016.0,2990834752.8200026
341, Department of Justice,2014.0,3306440549.66001
342, Department of Commerce,2015.0,3345581342.5700135
343, Department of Health and Human Services,2016.0,3555156123.629991
344," AGRICULTURE, DEPARTMENT OF",2014.0,3563916452.0200057
345, Department of the Interior ,2013.0,3746390481.4299827
346, National Aeronautics and Space Administration,2012.0,3771018659.2500005
347, National Aeronautics and Space Administration,2011.0,3905612646.4900017
348, Department of the Interior ,2011.0,4056970299.680016
349, Department of State,2010.0,4317531618.170005
350, Department of the Interior ,2015.0,4468783261.709983
351, Department of the Treasury,2012.0,4527729636.600004
352," TRANSPORTATION, DEPARTMENT OF",2013.0,4723873838.560016
353, Department of the Treasury,2013.0,4736278013.560001
354, Department of the Interior ,2012.0,4810814762.330001
355," TRANSPORTATION, DEPARTMENT OF",2012.0,4992825128.860006
356, Department of State,2011.0,5030476224.539966
357," AGRICULTURE, DEPARTMENT OF",2015.0,5041065921.869989
358, Department of the Treasury,2011.0,5041723831.160018
359, Department of Justice,2010.0,5052881277.8799515
360, Department of the Treasury,2015.0,5070247283.299988
361," TRANSPORTATION, DEPARTMENT OF",2011.0,5089710650.370018
362, Department of State,2012.0,5200346093.789954
363, Department of State,2013.0,5363903506.889963
364," AGRICULTURE, DEPARTMENT OF",2010.0,5476310328.119988
365," AGRICULTURE, DEPARTMENT OF",2011.0,5480673235.930018
366," AGRICULTURE, DEPARTMENT OF",2013.0,5558527793.249976
367," AGRICULTURE, DEPARTMENT OF",2012.0,5581919225.189956
368, Department of Veterans Affairs,2016.0,5612184518.040014
369, Department of State,2015.0,5732349618.75001
370, General Services Administration,2015.0,5892038053.319992
371, Department of Veterans Affairs,2010.0,5969487393.79998
372, Department of Justice,2013.0,6459583918.180033
373, Department of Health and Human Services,2015.0,6566608654.689967
374, Department of Justice,2012.0,6861464020.350057
375, Department of Justice,2011.0,6863278225.060093
376, Department of Justice,2015.0,6909086587.440099
377, Department of Defense,2015.0,7175440438.550083
378, Department of Health and Human Services,2013.0,7179928197.28998
379, General Services Administration,2010.0,8205732706.120101
380, Department of Homeland Security,2013.0,8258640763.469981
381, General Services Administration,2013.0,8905185767.910013
382, Department of Homeland Security,2012.0,10083780324.209911
383, Department of Health and Human Services,2011.0,10195024305.420013
384, Department of Health and Human Services,2012.0,10540213790.200071
385, Department of Homeland Security,2011.0,12019742493.809906
386, General Services Administration,2012.0,15186122273.869598
387, Department of Veterans Affairs,2015.0,16423949201.680363
388, Department of Veterans Affairs,2012.0,16822312643.539988
389, Department of Veterans Affairs,2013.0,17445172588.2101
390, Department of Veterans Affairs,2011.0,17982896813.359802
391, Department of Defense,2013.0,22384592102.929718
392, Department of Defense,2016.0,55428116531.54057
393, General Services Administration,2011.0,127140713090.78029
394, Department of Defense,2012.0,159247298058.473
395, Department of Defense,2011.0,172863050061.61285
