,agency_index,fiscal_year,base_and_all_options_value
212, Pretrial Services Agency - CSOSA,2016.0,528718.5499999998
213, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2015.0,534030.61
214, Chemical Safety and Hazard Investigation Board,2016.0,536340.96
215, SELECTIVE SERVICE SYSTEM,2008.0,548806.0
216, MERIT SYSTEMS PROTECTION BOARD,2008.0,565942.34
217, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2015.0,569191.75
218, NATIONAL CAPITAL PLANNING COMMISSION,2012.0,615893.35
219, NATIONAL CAPITAL PLANNING COMMISSION,2009.0,623350.8800000001
220, FEDERAL MARITIME COMMISSION,2009.0,649280.0599999999
221, PEACE CORPS,2002.0,650895.0
222, NATIONAL ENDOWMENT FOR THE HUMANITIES,2004.0,664519.0
223, GOVERNMENT ACCOUNTABILITY OFFICE,2007.0,665275.0
224, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2002.0,673312.66
225, National Foundation on the Arts and the Humanities,2006.0,677418.0
226, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2001.0,678588.0
227, NATIONAL ENDOWMENT FOR THE ARTS,2007.0,691043.51
228, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2003.0,694421.2
229, MERIT SYSTEMS PROTECTION BOARD,2015.0,697097.7899999999
230, NATIONAL TRANSPORTATION SAFETY BOARD,2015.0,697859.7399999999
231, COMMISSION ON CIVIL RIGHTS,2005.0,721340.0299999998
232," ENERGY, DEPARTMENT OF",2010.0,729256.26
233, NATIONAL CAPITAL PLANNING COMMISSION,2007.0,775306.1600000001
234, FEDERAL MARITIME COMMISSION,2007.0,775627.4400000001
235, FEDERAL MARITIME COMMISSION,2006.0,787513.0499999999
236, Chemical Safety and Hazard Investigation Board,2015.0,788875.8599999999
237, FEDERAL LABOR RELATIONS AUTHORITY,2012.0,844220.72
238, NATIONAL ENDOWMENT FOR THE ARTS,2005.0,851645.7399999999
239, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2008.0,869060.0900000002
240, OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,2007.0,875241.59
241, NATIONAL ENDOWMENT FOR THE HUMANITIES,2015.0,886803.0
242, SMALL BUSINESS ADMINISTRATION,2002.0,899892.48
243, PEACE CORPS,2003.0,933958.46
244, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2004.0,963772.9
245, FEDERAL HOUSING FINANCE BOARD,2006.0,969000.8099999999
246, FEDERAL COMMUNICATIONS COMMISSION,2001.0,1000000.0
247, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2008.0,1032841.57
248, FEDERAL MEDIATION AND CONCILIATION SERVICE,2009.0,1048891.3599999999
249, National Foundation on the Arts and the Humanities,2016.0,1052673.0
250, ENVIRONMENTAL PROTECTION AGENCY,2014.0,1087570.8
251, EXECUTIVE OFFICE OF THE PRESIDENT,2003.0,1115251.0
252, NATIONAL TRANSPORTATION SAFETY BOARD,2004.0,1137273.1400000001
253, INTERNATIONAL TRADE COMMISSION,2007.0,1139019.35
254, LIBRARY OF CONGRESS,2010.0,1150000.0
255, NATIONAL MEDIATION BOARD,2007.0,1218028.1700000002
256, NATIONAL CAPITAL PLANNING COMMISSION,2006.0,1249073.69
257, NUCLEAR REGULATORY COMMISSION,2001.0,1257459.1
258, OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,2005.0,1278303.0
259, NATIONAL MEDIATION BOARD,2012.0,1331356.8699999999
260, OFFICE OF PERSONNEL MANAGEMENT,2002.0,1338189.0
261, NATIONAL MEDIATION BOARD,2013.0,1343778.8699999996
262, LIBRARY OF CONGRESS,2016.0,1350000.0
263, NATIONAL MEDIATION BOARD,2009.0,1359032.89
264, LIBRARY OF CONGRESS,2011.0,1360000.0
265, COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,2006.0,1373841.0399999998
266, NATIONAL ENDOWMENT FOR THE ARTS,2013.0,1381183.9000000001
267, FEDERAL ENERGY REGULATORY COMMISSION,2003.0,1388630.3
268, NATIONAL TRANSPORTATION SAFETY BOARD,2016.0,1401312.9899999998
269, OFFICE OF PERSONNEL MANAGEMENT,2014.0,1407196.64
270, FEDERAL ELECTION COMMISSION,2008.0,1476412.5599999998
271, Chemical Safety and Hazard Investigation Board,2012.0,1478145.0200000003
272, FEDERAL ENERGY REGULATORY COMMISSION,2002.0,1479083.0
273, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2012.0,1492394.12
274, NATIONAL CAPITAL PLANNING COMMISSION,2011.0,1567034.12
275," HOMELAND SECURITY, DEPARTMENT OF",2000.0,1568963.8900000001
276, Pretrial Services Agency - CSOSA,2012.0,1580086.53
277, INTERNATIONAL TRADE COMMISSION,2010.0,1591984.49
278, LIBRARY OF CONGRESS,2006.0,1600000.0
279, NATIONAL MEDIATION BOARD,2011.0,1611943.4200000002
280, NATIONAL ENDOWMENT FOR THE ARTS,2009.0,1618237.2899999998
281, FEDERAL LABOR RELATIONS AUTHORITY,2015.0,1622257.6199999999
282, MILLENIUM CHALLENGE CORPORATION,2015.0,1627452.9900000033
283, NATIONAL ENDOWMENT FOR THE ARTS,2012.0,1642913.1700000002
284, RAILROAD RETIREMENT BOARD,2008.0,1703185.21
285, MERIT SYSTEMS PROTECTION BOARD,2013.0,1725684.0900000005
286, FEDERAL ENERGY REGULATORY COMMISSION,2007.0,1729287.8100000042
287, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2015.0,1732672.96
288, Chemical Safety and Hazard Investigation Board,2013.0,1753291.8899999997
289, SMALL BUSINESS ADMINISTRATION,2003.0,1754829.37
290, FEDERAL MARITIME COMMISSION,2011.0,1774783.0499999998
291, NATIONAL ENDOWMENT FOR THE HUMANITIES,2005.0,1815789.0
292, National Foundation on the Arts and the Humanities,2009.0,1859757.03
293, MERIT SYSTEMS PROTECTION BOARD,2005.0,1862462.44
294, FEDERAL ELECTION COMMISSION,2016.0,1868334.89
295, FEDERAL MEDIATION AND CONCILIATION SERVICE,2016.0,1967902.9000000004
296, FEDERAL COMMUNICATIONS COMMISSION,2014.0,2009050.42
297, COMMISSION ON CIVIL RIGHTS,2004.0,2011285.7399999998
298, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2005.0,2035068.66
299, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2009.0,2077878.2199999997
300, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2002.0,2084919.88
301, COMMISSION ON CIVIL RIGHTS,2007.0,2088696.13
302, SECURITIES AND EXCHANGE COMMISSION,2002.0,2139596.49
303, FEDERAL MARITIME COMMISSION,2012.0,2172004.0799999996
304, FEDERAL TRADE COMMISSION,2005.0,2177575.04
305, FEDERAL ELECTION COMMISSION,2004.0,2286766.6700000004
306, NATIONAL GALLERY OF ART,2008.0,2298708.5300000003
307," LABOR, DEPARTMENT OF",2000.0,2339892.8400000003
308, National Foundation on the Arts and the Humanities,2011.0,2408495.0900000003
309, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2011.0,2457468.1899999995
310, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2006.0,2461491.12
311, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2015.0,2463353.5900000003
312, SELECTIVE SERVICE SYSTEM,2006.0,2535670.3200000003
313, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2001.0,2673932.3899999997
314, COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,2002.0,2689170.0
315, AGENCY FOR INTERNATIONAL DEVELOPMENT,2003.0,2699800.0
316, NATIONAL ENDOWMENT FOR THE ARTS,2011.0,2713688.63
317, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2004.0,2810132.5799999996
318, FEDERAL MEDIATION AND CONCILIATION SERVICE,2011.0,2812876.38
319, NATIONAL LABOR RELATIONS BOARD,2004.0,2820936.5900000003
320, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2004.0,2888087.01
321, NATIONAL LABOR RELATIONS BOARD,2016.0,2895420.56
322, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2002.0,2905000.0
323, FEDERAL LABOR RELATIONS AUTHORITY,2013.0,2931165.890000001
324, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2007.0,2951286.0199999996
325, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2012.0,2995579.499999999
326, NATIONAL ENDOWMENT FOR THE HUMANITIES,2008.0,3138148.0
327, FEDERAL MARITIME COMMISSION,2016.0,3141559.51
328, Department of Health and Human Services,2010.0,3169138.749999998
329, National Foundation on the Arts and the Humanities,2012.0,3182644.04
330, FEDERAL LABOR RELATIONS AUTHORITY,2009.0,3193929.42
331, SELECTIVE SERVICE SYSTEM,2012.0,3223499.180000001
332, FEDERAL MARITIME COMMISSION,2015.0,3236195.89
333, AGENCY FOR INTERNATIONAL DEVELOPMENT,2006.0,3271806.3699999996
334, INTERNATIONAL TRADE COMMISSION,2005.0,3336617.01
335, SELECTIVE SERVICE SYSTEM,2009.0,3392968.83
336, CONSUMER PRODUCT SAFETY COMMISSION,2008.0,3512958.7300000004
337, OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,2003.0,3623165.9899999998
338, FEDERAL ENERGY REGULATORY COMMISSION,2004.0,3662131.11
339, MERIT SYSTEMS PROTECTION BOARD,2006.0,3678907.6200000006
340, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2003.0,3753535.2399999998
341, NATIONAL GALLERY OF ART,2015.0,3787283.17
342, MERIT SYSTEMS PROTECTION BOARD,2011.0,3792949.6300000013
343, PEACE CORPS,2008.0,3807576.7200000007
344, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2013.0,3900156.19
345, AGENCY FOR INTERNATIONAL DEVELOPMENT,2014.0,3933059.84
346, CONSUMER FINANCIAL PROTECTION BUREAU,2011.0,3973358.0000000005
347, FEDERAL ENERGY REGULATORY COMMISSION,2001.0,4058180.0
348," AGRICULTURE, DEPARTMENT OF",2000.0,4122021.12
349, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2016.0,4233861.23
350, National Foundation on the Arts and the Humanities,2007.0,4374598.96
351, OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,2002.0,4476110.89
352, COMMODITY FUTURES TRADING COMMISSION,2004.0,4493506.7
353, CONSUMER PRODUCT SAFETY COMMISSION,2005.0,4531017.849999999
354, FEDERAL HOUSING FINANCE AGENCY,2012.0,4558449.56
355, SECURITIES AND EXCHANGE COMMISSION,2001.0,4606336.87
356, FEDERAL ELECTION COMMISSION,2005.0,4607328.76
357, NATIONAL ENDOWMENT FOR THE HUMANITIES,2006.0,4615888.0
358, FEDERAL ENERGY REGULATORY COMMISSION,2008.0,4650856.3
359, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2004.0,4696527.51
360, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2012.0,4810914.240000001
361, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2009.0,4907129.71
362, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2003.0,4940046.12
363, CONSUMER FINANCIAL PROTECTION BUREAU,2014.0,4975751.11
364, LIBRARY OF CONGRESS,2007.0,5000000.0
365, MERIT SYSTEMS PROTECTION BOARD,2009.0,5015240.710000001
366, SELECTIVE SERVICE SYSTEM,2007.0,5046732.550000002
367, NATIONAL ENDOWMENT FOR THE HUMANITIES,2013.0,5141540.5
368, NATIONAL ENDOWMENT FOR THE ARTS,2006.0,5173571.46
369, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2010.0,5235505.68
370, MERIT SYSTEMS PROTECTION BOARD,2007.0,5317338.369999998
371," EDUCATION, DEPARTMENT OF",2014.0,5320274.58
372," HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2015.0,5391433.0
373, National Foundation on the Arts and the Humanities,2013.0,5493881.35
374, FEDERAL COMMUNICATIONS COMMISSION,2002.0,5552232.0
375, LIBRARY OF CONGRESS,2015.0,5645000.0
376, NATIONAL ENDOWMENT FOR THE HUMANITIES,2007.0,5780119.609999999
377, NATIONAL ENDOWMENT FOR THE HUMANITIES,2012.0,5783495.0
378, SELECTIVE SERVICE SYSTEM,2011.0,5826230.790000001
379, FEDERAL COMMUNICATIONS COMMISSION,2004.0,5870845.38
380, RAILROAD RETIREMENT BOARD,2004.0,5896865.880000001
381, NATIONAL ENDOWMENT FOR THE HUMANITIES,2011.0,5897559.0
382, SECURITIES AND EXCHANGE COMMISSION,2003.0,5971990.4399999995
383, OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,2001.0,5977164.87
384, OFFICE OF PERSONNEL MANAGEMENT,2001.0,6000810.0
385, NATIONAL TRANSPORTATION SAFETY BOARD,2008.0,6002323.039999999
386, PEACE CORPS,2015.0,6064042.37
387, NUCLEAR REGULATORY COMMISSION,2000.0,6064934.1899999995
388, FEDERAL MEDIATION AND CONCILIATION SERVICE,2013.0,6194099.340000002
389,,2000.0,6196460.0
390, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2015.0,6244624.860000001
391, BROADCASTING BOARD OF GOVERNORS,2002.0,6273712.619999999
