,agency_index,fiscal_year,base_and_all_options_value
49, NATIONAL LABOR RELATIONS BOARD,2000,0.0
50, BROADCASTING BOARD OF GOVERNORS,2000,0.0
51, RAILROAD RETIREMENT BOARD,2001,0.0
52, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2002,0.0
53, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2000,0.0
54, CONSUMER PRODUCT SAFETY COMMISSION,2001,0.0
55, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2003,0.0
56, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2001,0.0
57, EXECUTIVE OFFICE OF THE PRESIDENT,2002,0.0
58, EXECUTIVE OFFICE OF THE PRESIDENT,2001,0.0
59, EXECUTIVE OFFICE OF THE PRESIDENT,2000,0.0
60, FEDERAL EMERGENCY MANAGEMENT AGENCY,2007,0.0
61, FEDERAL EMERGENCY MANAGEMENT AGENCY,2002,0.0
62, FEDERAL EMERGENCY MANAGEMENT AGENCY,2003,0.0
63, TENNESSEE VALLEY AUTHORITY,2000,0.0
64, NATIONAL LABOR RELATIONS BOARD,2002,0.0
65, FEDERAL MARITIME COMMISSION,2001,0.0
66, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2002,0.0
67, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2001,0.0
68, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2000,0.0
69, FEDERAL TRADE COMMISSION,2002,0.0
70, FEDERAL TRADE COMMISSION,2003,0.0
71, RAILROAD RETIREMENT BOARD,2000,0.0
72, National Foundation on the Arts and the Humanities,2003,0.0
73, FEDERAL MARITIME COMMISSION,2000,0.0
74, AGENCY FOR INTERNATIONAL DEVELOPMENT,2002,0.0
75, FEDERAL MARITIME COMMISSION,2002,0.0
76, UNITED STATES HOLOCAUST MEMORIAL MUSEUM,2000,0.0
77, National Foundation on the Arts and the Humanities,2000,0.0
78, UNITED STATES HOLOCAUST MEMORIAL MUSEUM,2001,0.0
79, UNITED STATES HOLOCAUST MEMORIAL MUSEUM,2002,0.0
80, SECURITIES AND EXCHANGE COMMISSION,2000,0.0
81, CONSUMER PRODUCT SAFETY COMMISSION,2002,0.0
82, FEDERAL ELECTION COMMISSION,2003,148.32
83, COMMISSION ON CIVIL RIGHTS,2000,374.66
84, CONSUMER PRODUCT SAFETY COMMISSION,2000,627.0
85, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2001,800.0
86, COMMISSION ON CIVIL RIGHTS,2001,1000.0
87, BROADCASTING BOARD OF GOVERNORS,2001,1631.2
88, Pretrial Services Agency - CSOSA,2006,1920.74
89, MERIT SYSTEMS PROTECTION BOARD,2003,2967.0
90, Pretrial Services Agency - CSOSA,2007,6234.84
91, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2000,6922.0
92, NATIONAL TRANSPORTATION SAFETY BOARD,2002,9492.8
93, Pretrial Services Agency - CSOSA,2009,18612.8
94, FEDERAL TRADE COMMISSION,2001,20000.0
95, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2000,20790.0
96, SELECTIVE SERVICE SYSTEM,2004,24490.28
97, RAILROAD RETIREMENT BOARD,2003,24900.0
98, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2001,25000.0
99, PEACE CORPS,2000,26247.0
100, SELECTIVE SERVICE SYSTEM,2003,28896.0
101, NATIONAL CAPITAL PLANNING COMMISSION,2008,31753.359999999997
102, UNITED STATES HOLOCAUST MEMORIAL MUSEUM,2004,32570.68
103, SELECTIVE SERVICE SYSTEM,2005,37214.44
104, NATIONAL ENDOWMENT FOR THE HUMANITIES,2003,37437.0
105, COMMODITY FUTURES TRADING COMMISSION,2002,39687.96
106, OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,2008,43669.0
107, NATIONAL SCIENCE FOUNDATION,2000,44000.0
108, FEDERAL MARITIME COMMISSION,2008,49962.7
109, COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,2004,50000.0
110, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2002,68118.0
111, AMERICAN BATTLE MONUMENTS COMMISSION,2004,74406.20999999999
112, CONSUMER PRODUCT SAFETY COMMISSION,2003,83200.0
113, COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,2007,88290.0
114, FEDERAL ELECTION COMMISSION,2000,90699.42
115, PEACE CORPS,2001,116541.0
116, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2003,117360.0
117, ELECTION ASSISTANCE COMMISSION,2009,120444.22
118, OFFICE OF SPECIAL COUNSEL,2009,120937.6
119, NATIONAL COMMISSION ON LIBRARIES AND INFORMATION SCIENCE,2004,129363.76
120, FEDERAL HOUSING FINANCE BOARD,2007,145906.1
121, COMMODITY FUTURES TRADING COMMISSION,2003,158100.0
122, NATIONAL COMMISSION ON LIBRARIES AND INFORMATION SCIENCE,2005,167620.06
123, NATIONAL MEDIATION BOARD,2004,176142.44999999998
124, FEDERAL TRADE COMMISSION,2004,199073.5
125, AGENCY FOR INTERNATIONAL DEVELOPMENT,2001,210000.0
126, MERIT SYSTEMS PROTECTION BOARD,2004,242574.23
127, NATIONAL MEDIATION BOARD,2005,255158.40999999997
128, OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,2000,277147.9
129, AGENCY FOR INTERNATIONAL DEVELOPMENT,2005,277626.67
130, AGENCY FOR INTERNATIONAL DEVELOPMENT,2004,291727.0
131, National Foundation on the Arts and the Humanities,2008,298031.51
132, OFFICE OF SPECIAL COUNSEL,2008,311169.29
133, COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,2005,322584.0
134, INTERNATIONAL TRADE COMMISSION,2008,351061.04000000004
135, NATIONAL MEDIATION BOARD,2006,351456.38
136, NATIONAL LABOR RELATIONS BOARD,2003,357280.0
137, MILLENIUM CHALLENGE CORPORATION,2004,387389.92
138,,2008,387838.88
139, OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,2006,390979.8900000001
140, NATIONAL MEDIATION BOARD,2008,408805.8600000001
141, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2003,438087.97
142, OFFICE OF SPECIAL COUNSEL,2007,467738.32000000007
143, NATIONAL ENDOWMENT FOR THE ARTS,2008,473982.83999999997
144, NATIONAL ENDOWMENT FOR THE ARTS,2004,481844.76
145, INTERNATIONAL TRADE COMMISSION,2006,515507.52999999997
146, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2005,533522.9299999999
147, SELECTIVE SERVICE SYSTEM,2008,548806.0
148, FEDERAL MARITIME COMMISSION,2004,562179.73
149, MERIT SYSTEMS PROTECTION BOARD,2008,586527.34
150, FEDERAL MARITIME COMMISSION,2005,589360.5200000001
151, NATIONAL CAPITAL PLANNING COMMISSION,2009,623350.8800000001
152, PEACE CORPS,2002,650895.0
153, NATIONAL ENDOWMENT FOR THE HUMANITIES,2004,664519.0
154, GOVERNMENT ACCOUNTABILITY OFFICE,2007,665275.0
155, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2002,673312.66
156, National Foundation on the Arts and the Humanities,2006,677418.0
157, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2001,684174.0
158, NATIONAL ENDOWMENT FOR THE ARTS,2007,691043.51
159, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2003,696221.2
160, COMMISSION ON CIVIL RIGHTS,2005,721340.0299999998
161, NATIONAL CAPITAL PLANNING COMMISSION,2007,775306.1600000001
162, FEDERAL MARITIME COMMISSION,2006,792175.35
163, FEDERAL MARITIME COMMISSION,2007,802667.93
164, NATIONAL ENDOWMENT FOR THE ARTS,2005,851645.7399999999
165, OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,2007,876021.59
166, SMALL BUSINESS ADMINISTRATION,2002,899892.48
167, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2008,902440.0600000002
168, FEDERAL MARITIME COMMISSION,2009,936375.9999999999
169, PEACE CORPS,2003,936533.9
170, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2004,963772.9
171, FEDERAL HOUSING FINANCE BOARD,2006,969000.8099999999
172, FEDERAL COMMUNICATIONS COMMISSION,2001,1000000.0
173, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2008,1032841.57
174, FEDERAL MEDIATION AND CONCILIATION SERVICE,2009,1048891.3599999999
175, EXECUTIVE OFFICE OF THE PRESIDENT,2003,1115251.0
176, INTERNATIONAL TRADE COMMISSION,2007,1139019.35
177, NATIONAL TRANSPORTATION SAFETY BOARD,2004,1142273.1400000001
178, NATIONAL MEDIATION BOARD,2007,1218028.1700000002
179, NATIONAL CAPITAL PLANNING COMMISSION,2006,1249073.69
180, NUCLEAR REGULATORY COMMISSION,2001,1257459.1
181, OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,2005,1325071.4500000002
182, OFFICE OF PERSONNEL MANAGEMENT,2002,1338189.0
183, NATIONAL MEDIATION BOARD,2009,1359032.89
184, COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,2006,1373841.0399999998
185, FEDERAL ENERGY REGULATORY COMMISSION,2003,1388630.3
186, FEDERAL ENERGY REGULATORY COMMISSION,2002,1479083.0
187, FEDERAL ELECTION COMMISSION,2008,1511766.8099999998
188, LIBRARY OF CONGRESS,2006,1600000.0
189, NATIONAL ENDOWMENT FOR THE ARTS,2009,1618237.2899999998
190, RAILROAD RETIREMENT BOARD,2008,1703191.29
191, SMALL BUSINESS ADMINISTRATION,2003,1754829.37
192, NATIONAL ENDOWMENT FOR THE HUMANITIES,2005,1815789.0
193, National Foundation on the Arts and the Humanities,2009,1859757.03
194, MERIT SYSTEMS PROTECTION BOARD,2005,1907685.7
195, COMMISSION ON CIVIL RIGHTS,2004,2011285.7399999998
196, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2002,2084919.88
197, COMMISSION ON CIVIL RIGHTS,2007,2088696.13
198, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2005,2107949.96
199, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2009,2120496.7099999995
200, SECURITIES AND EXCHANGE COMMISSION,2002,2139596.49
201, FEDERAL TRADE COMMISSION,2005,2198959.04
202, FEDERAL ELECTION COMMISSION,2004,2300797.89
203, NATIONAL GALLERY OF ART,2008,2377163.5300000003
204, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2006,2469505.54
205, SELECTIVE SERVICE SYSTEM,2006,2535670.3200000003
206, COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,2002,2689170.0
207, AGENCY FOR INTERNATIONAL DEVELOPMENT,2003,2699800.0
208, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2001,2718932.3899999997
209," HOMELAND SECURITY, DEPARTMENT OF",2000,2778444.8400000003
210, NATIONAL LABOR RELATIONS BOARD,2004,2820936.5900000003
211, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2004,2845542.1399999997
212, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2004,2888087.01
213, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2002,2905000.0
214, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2007,2966286.0199999996
215, NATIONAL ENDOWMENT FOR THE HUMANITIES,2008,3138148.0
216, FEDERAL LABOR RELATIONS AUTHORITY,2009,3193929.42
217, AGENCY FOR INTERNATIONAL DEVELOPMENT,2006,3271806.3699999996
218, INTERNATIONAL TRADE COMMISSION,2005,3389656.8200000003
219, SELECTIVE SERVICE SYSTEM,2009,3392968.83
220, CONSUMER PRODUCT SAFETY COMMISSION,2008,3532158.7600000002
221, OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,2003,3624620.53
222, FEDERAL ENERGY REGULATORY COMMISSION,2004,3663631.11
223, MERIT SYSTEMS PROTECTION BOARD,2006,3744899.5200000005
224, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2003,3924123.81
225, PEACE CORPS,2008,3981945.9600000004
226, FEDERAL ENERGY REGULATORY COMMISSION,2001,4058180.0
227," AGRICULTURE, DEPARTMENT OF",2000,4122021.12
228, National Foundation on the Arts and the Humanities,2007,4374598.96
229, OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,2002,4476110.89
230, COMMODITY FUTURES TRADING COMMISSION,2004,4493506.7
231, SECURITIES AND EXCHANGE COMMISSION,2001,4609702.44
232, FEDERAL ELECTION COMMISSION,2005,4609938.709999999
233, NATIONAL ENDOWMENT FOR THE HUMANITIES,2006,4615888.0
234, CONSUMER PRODUCT SAFETY COMMISSION,2005,4669348.029999998
235, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2004,4696527.51
236, FEDERAL ENERGY REGULATORY COMMISSION,2008,4726723.46
237, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2009,4907129.71
238, DEFENSE NUCLEAR FACILITIES SAFETY BOARD,2003,4940046.12
239, LIBRARY OF CONGRESS,2007,5000000.0
240, SELECTIVE SERVICE SYSTEM,2007,5046732.550000002
241, NATIONAL ENDOWMENT FOR THE ARTS,2006,5173571.46
242, MERIT SYSTEMS PROTECTION BOARD,2007,5423391.939999999
243, FEDERAL COMMUNICATIONS COMMISSION,2002,5552232.0
244, NATIONAL ENDOWMENT FOR THE HUMANITIES,2007,5780119.609999999
245, FEDERAL COMMUNICATIONS COMMISSION,2004,5870845.38
246, RAILROAD RETIREMENT BOARD,2004,5896865.880000001
247, OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,2001,5977164.87
248, SECURITIES AND EXCHANGE COMMISSION,2003,5977892.9399999995
249, OFFICE OF PERSONNEL MANAGEMENT,2001,6000810.0
250, NUCLEAR REGULATORY COMMISSION,2000,6064934.1899999995
251, NATIONAL TRANSPORTATION SAFETY BOARD,2008,6074927.749999999
252,,2000,6196460.0
253, MERIT SYSTEMS PROTECTION BOARD,2009,6301164.710000002
254, FEDERAL ELECTION COMMISSION,2006,6348612.110000001
255, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2005,6380606.21
256," LABOR, DEPARTMENT OF",2000,6398531.41
257, RAILROAD RETIREMENT BOARD,2005,6418943.220000001
258, FEDERAL COMMUNICATIONS COMMISSION,2000,6426466.59
259, BROADCASTING BOARD OF GOVERNORS,2002,6475229.34
260, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2008,6780996.919999999
261, FEDERAL EMERGENCY MANAGEMENT AGENCY,2001,7000000.0
262, LIBRARY OF CONGRESS,2002,7000000.0
263," LABOR, DEPARTMENT OF",2001,7300654.62
264, BROADCASTING BOARD OF GOVERNORS,2008,7371521.699999999
265, SMALL BUSINESS ADMINISTRATION,2001,7491753.62
266, FEDERAL COMMUNICATIONS COMMISSION,2003,7711000.0
267, NATIONAL GALLERY OF ART,2004,8017032.879999999
268, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2006,8110031.81
269, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2008,8134778.08
270, CONSUMER PRODUCT SAFETY COMMISSION,2007,8832686.319999997
271, OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,2004,8902136.91
272, NATIONAL ENDOWMENT FOR THE HUMANITIES,2009,8990567.0
273, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2006,9379781.060000002
274, EXECUTIVE OFFICE OF THE PRESIDENT,2004,9411849.869999997
275, CONSUMER PRODUCT SAFETY COMMISSION,2004,9597852.91
276, NATIONAL TRANSPORTATION SAFETY BOARD,2005,9665518.319999998
277, OFFICE OF PERSONNEL MANAGEMENT,2003,9705015.44
278, UNITED STATES TRADE AND DEVELOPMENT AGENCY,2007,9790166.99
279," COMMERCE, DEPARTMENT OF",2000,9843054.940000001
280, NATIONAL LABOR RELATIONS BOARD,2005,9885593.96
281, INTERNATIONAL TRADE COMMISSION,2009,10221213.549999997
282, NATIONAL GALLERY OF ART,2005,10253560.270000003
283, LIBRARY OF CONGRESS,2009,11050000.0
284, NATIONAL TRANSPORTATION SAFETY BOARD,2006,11402810.729999995
285, RAILROAD RETIREMENT BOARD,2006,11584394.879999997
286," EDUCATION, DEPARTMENT OF",2000,11610864.0
287, NATIONAL GALLERY OF ART,2007,11821537.04
288, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2008,11840651.73
289, BROADCASTING BOARD OF GOVERNORS,2003,11861745.5
290, INTERNATIONAL TRADE COMMISSION,2004,12037054.32
291, GOVERNMENT ACCOUNTABILITY OFFICE,2008,12044806.8
292, SOCIAL SECURITY ADMINISTRATION,2000,12129602.32
293, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2005,12479135.0
294, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2008,12701359.350000001
295, COMMODITY FUTURES TRADING COMMISSION,2005,12978493.870000001
296, NATIONAL SCIENCE FOUNDATION,2003,13126093.0
297, RAILROAD RETIREMENT BOARD,2007,13337416.019999998
298, CONSUMER PRODUCT SAFETY COMMISSION,2006,13533184.979999997
299, NATIONAL GALLERY OF ART,2003,13972031.0
300, PEACE CORPS,2005,14434627.889999997
301, NUCLEAR REGULATORY COMMISSION,2002,14569089.980000002
302, NATIONAL SCIENCE FOUNDATION,2002,14609397.38
303," AGRICULTURE, DEPARTMENT OF",2001,14699838.01
304, RAILROAD RETIREMENT BOARD,2009,14739988.369999995
305, OFFICE OF PERSONNEL MANAGEMENT,2000,15017601.29
306, PEACE CORPS,2004,15134705.88
307, EXECUTIVE OFFICE OF THE PRESIDENT,2008,15183700.979999999
308, BROADCASTING BOARD OF GOVERNORS,2004,15349331.290000001
309, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2002,15545162.100000001
310, MILLENIUM CHALLENGE CORPORATION,2005,15632583.88
311, SMITHSONIAN INSTITUTION,2001,15701903.7
312, SOCIAL SECURITY ADMINISTRATION,2001,15962662.68
313, NATIONAL SCIENCE FOUNDATION,2004,16157454.249999998
314, NATIONAL TRANSPORTATION SAFETY BOARD,2009,16601560.509999996
315, FEDERAL HOUSING FINANCE AGENCY,2009,17021717.009999998
316, NATIONAL GALLERY OF ART,2006,17596032.119999997
317, NATIONAL LABOR RELATIONS BOARD,2007,18073193.14
318," INTERIOR, DEPARTMENT OF THE",2000,18626562.259999998
319, SMALL BUSINESS ADMINISTRATION,2008,19098493.469999995
320, EXECUTIVE OFFICE OF THE PRESIDENT,2005,19313029.989999995
321, FEDERAL ELECTION COMMISSION,2007,19568034.549999993
322, FEDERAL TRADE COMMISSION,2008,19761182.739999995
323, BROADCASTING BOARD OF GOVERNORS,2005,20227422.07000001
324, FEDERAL ENERGY REGULATORY COMMISSION,2005,20275782.13
325, NATIONAL LABOR RELATIONS BOARD,2006,20427273.97
326, NATIONAL LABOR RELATIONS BOARD,2008,20991433.650000002
327, SMITHSONIAN INSTITUTION,2000,21149912.969999995
328, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2007,22361079.42
329, MILLENIUM CHALLENGE CORPORATION,2008,22505247.919999998
330, COMMODITY FUTURES TRADING COMMISSION,2008,22811785.37
331,,2001,22952785.0
332, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2006,23425664.619999997
333," HOMELAND SECURITY, DEPARTMENT OF",2001,23453733.099999998
334, FEDERAL ENERGY REGULATORY COMMISSION,2006,23629577.490000002
335, COMMODITY FUTURES TRADING COMMISSION,2006,24682553.35000001
336, SMALL BUSINESS ADMINISTRATION,2005,24916278.250000007
337, FEDERAL COMMUNICATIONS COMMISSION,2008,25053810.939999998
338, NATIONAL LABOR RELATIONS BOARD,2009,25194636.519999996
339, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2007,25968310.02
340, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2004,26080536.510000005
341, FEDERAL ELECTION COMMISSION,2009,26394528.459999993
342, LIBRARY OF CONGRESS,2003,26500000.0
343, COURT SERVICES AND OFFENDER SUPERVISION AGENCY,2009,27014401.14999999
344, INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO,2009,28321073.89999999
345, NATIONAL TRANSPORTATION SAFETY BOARD,2007,28407278.26
346, J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2009,28486977.89999999
347, SMITHSONIAN INSTITUTION,2002,28566990.160000004
348," EDUCATION, DEPARTMENT OF",2002,28746366.69
349, GOVERNMENT ACCOUNTABILITY OFFICE,2009,29061012.169999998
350, COMMODITY FUTURES TRADING COMMISSION,2007,31364252.99000002
351, CONSUMER PRODUCT SAFETY COMMISSION,2009,31518294.699999973
352, FEDERAL TRADE COMMISSION,2006,32042899.060000017
353," EDUCATION, DEPARTMENT OF",2001,32431267.029999997
354, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2005,33157816.33
355, SECURITIES AND EXCHANGE COMMISSION,2008,33491336.109999992
356, ENVIRONMENTAL PROTECTION AGENCY,2000,34614062.039999984
357, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2008,34973011.82999999
358, FEDERAL ENERGY REGULATORY COMMISSION,2009,35287889.769999996
359, NUCLEAR REGULATORY COMMISSION,2003,35335028.36
360, NATIONAL SCIENCE FOUNDATION,2008,35440575.93000001
361," COMMERCE, DEPARTMENT OF",2001,36425361.29000001
362, NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2003,36657383.15
363, AGENCY FOR INTERNATIONAL DEVELOPMENT,2000,37881816.67
364, SOCIAL SECURITY ADMINISTRATION,2002,38278333.96000001
365, FEDERAL ENERGY REGULATORY COMMISSION,2007,39982199.35
366, COMMODITY FUTURES TRADING COMMISSION,2009,41298732.47
367, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2007,41836787.070000045
368, SECURITIES AND EXCHANGE COMMISSION,2004,42145190.03
369, SMITHSONIAN INSTITUTION,2003,42386849.12000001
370, SOCIAL SECURITY ADMINISTRATION,2003,44186938.58
371, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2004,44497590.73999999
372, ENVIRONMENTAL PROTECTION AGENCY,2001,44936693.239999995
373, NUCLEAR REGULATORY COMMISSION,2008,45576552.23999998
374, PEACE CORPS,2006,45815953.32
375, Department of Transportation,2000,45821119.129999995
376," JUSTICE, DEPARTMENT OF",2000,45846107.42
377, FEDERAL TRADE COMMISSION,2007,46019379.210000016
378, PEACE CORPS,2007,47266260.56000001
379, FEDERAL TRADE COMMISSION,2009,47659688.71000001
380, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2009,49279615.37999999
381, NATIONAL GALLERY OF ART,2009,52938863.02000001
382," INTERIOR, DEPARTMENT OF THE",2001,55270785.6
383, EXECUTIVE OFFICE OF THE PRESIDENT,2006,57053751.839999996
384, SMALL BUSINESS ADMINISTRATION,2004,57897769.910000004
385, NATIONAL SCIENCE FOUNDATION,2005,58857485.14000001
386," COMMERCE, DEPARTMENT OF",2002,59342540.900000006
387, SMITHSONIAN INSTITUTION,2008,59619836.64000001
388," AGRICULTURE, DEPARTMENT OF",2002,60226220.21
389, PEACE CORPS,2009,60474345.419999994
390, EXECUTIVE OFFICE OF THE PRESIDENT,2007,60924259.01999999
391, SMITHSONIAN INSTITUTION,2004,61758097.35
392, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2007,62995898.89000001
393, EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,2006,63874908.15000001
394," LABOR, DEPARTMENT OF",2002,64164222.74999999
395, FEDERAL COMMUNICATIONS COMMISSION,2005,64709442.61999997
396, PENSION BENEFIT GUARANTY CORPORATION,2008,65567157.32000001
397," STATE, DEPARTMENT OF",2001,66203261.110000014
398, EXECUTIVE OFFICE OF THE PRESIDENT,2009,66318212.73999997
399, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2009,68119940.83999999
400," HOMELAND SECURITY, DEPARTMENT OF",2002,69287846.36
401, SECURITIES AND EXCHANGE COMMISSION,2005,72533701.38
402, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2005,77641331.11
403, NUCLEAR REGULATORY COMMISSION,2004,78118466.54
404, ENVIRONMENTAL PROTECTION AGENCY,2002,82482399.24
405, SMALL BUSINESS ADMINISTRATION,2006,82932458.30999996
406," STATE, DEPARTMENT OF",2000,85327169.6
407," EDUCATION, DEPARTMENT OF",2003,86227291.02
408, CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,2006,86232365.33999999
409," LABOR, DEPARTMENT OF",2009,86371478.62
410,,2002,89748919.06
411, PENSION BENEFIT GUARANTY CORPORATION,2006,91848900.72000001
412, MILLENIUM CHALLENGE CORPORATION,2009,93392202.93000002
