,naics_code,fiscal_year,base_and_all_options_value
176, MEN'S AND BOYS' NECKWEAR MANUFACTURING,2012.0,3027.5
177, MOTOR VEHICLE AIR-CONDITIONING MANUFACTURING,2015.0,3034.08
178, SECURITIES AND COMMODITY EXCHANGES,2014.0,3040.51
179," COMMERCIAL LAUNDRY, DRYCLEANING, AND PRESSING MACHINE MANUFACTURING",2014.0,3111.52
180, GEOTHERMAL ELECTRIC POWER GENERATION,2013.0,3132.97
181, TIRE CORD AND TIRE FABRIC MILLS,2010.0,3139.6
182, CABLE AND OTHER PROGRAM DISTRIBUTION,2010.0,3159.36
183, BEER AND ALE MERCHANT WHOLESALERS,2013.0,3172.24
184, SHEEP FARMING,2010.0,3190.0
185, URANIUM-RADIUM-VANADIUM ORE MINING,2012.0,3210.0
186, SYNTHETIC ORGANIC DYE AND PIGMENT MANUFACTURING,2013.0,3243.0
187, TELEMARKETING BUREAUS AND OTHER CONTACT CENTERS,2010.0,3280.0
188, MALT MANUFACTURING,2011.0,3282.18
189, SAWMILL AND WOODWORKING MACHINERY MANUFACTURING,2015.0,3288.0
190, IRON ORE MINING,2012.0,3305.05
191, COMMODITY CONTRACTS BROKERAGE,2010.0,3395.0
192, SHELLFISH FARMING,2011.0,3468.0
193, INDUSTRIAL SAND MINING,2014.0,3474.26
194, FRUIT AND TREE NUT COMBINATION FARMING,2015.0,3490.36
195, PAPER BAG AND COATED AND TREATED PAPER MANUFACTURING,2012.0,3495.36
196, OTHER FOOD CROPS GROWN UNDER COVER,2015.0,3498.2
197, FUR-BEARING ANIMAL AND RABBIT PRODUCTION,2010.0,3500.0
198, MANUFACTURED (MOBILE) HOME DEALERS,2016.0,3503.08
199, ALL OTHER LEATHER GOOD AND ALLIED PRODUCT MANUFACTURING,2012.0,3552.05
200, BRICK AND STRUCTURAL CLAY TILE MANUFACTURING,2013.0,3553.12
201, FOOTWEAR AND LEATHER GOODS REPAIR,2015.0,3555.57
202," YARN TEXTURIZING, THROWING, AND TWISTING MILLS",2011.0,3626.37
203, ETHYL ALCOHOL MANUFACTURING,2016.0,3654.7599999999998
204, LIMITED-SERVICE RESTAURANTS,2015.0,3704.15
205, ONE-HOUR PHOTOFINISHING,2016.0,3707.0
206, POLITICAL ORGANIZATIONS,2015.0,3725.0
207," BEER, WINE, AND LIQUOR STORES",2016.0,3726.0
208, AUTOMOTIVE EXHAUST SYSTEM REPAIR,2016.0,3729.06
209, FORMAL WEAR AND COSTUME RENTAL,2014.0,3746.54
210, BUSINESS AND SECRETARIAL SCHOOLS,2014.0,3800.0
211, CARBON BLACK MANUFACTURING,2012.0,3825.0
212, TURKEY PRODUCTION,2015.0,3960.0
213, SUGAR BEET FARMING,2015.0,4000.0
214, AMUSEMENT AND THEME PARKS,2016.0,4014.0
215, TEXTILE MACHINERY MANUFACTURING,2014.0,4028.59
216, OTHER FOOTWEAR MANUFACTURING,2014.0,4030.5
217, AUTOMATIC VENDING MACHINE MANUFACTURING,2014.0,4059.48
218, MOTOR VEHICLE METAL STAMPING,2014.0,4096.32
219, FLAT GLASS MANUFACTURING,2014.0,4168.0
220," TRUSTS, ESTATES, AND AGENCY ACCOUNTS",2013.0,4200.0
221, ALL OTHER GRAIN FARMING,2014.0,4200.0
222, GRAPE VINEYARDS,2013.0,4210.29
223, DOG AND CAT FOOD MANUFACTURING,2014.0,4326.0
224, TRUSS MANUFACTURING,2014.0,4350.0
225, WET CORN MILLING,2010.0,4400.0
226, BITUMINOUS COAL AND LIGNITE SURFACE MINING,2015.0,4418.08
227, OTHER ELECTRONIC PARTS AND EQUIPMENT WHOLESALERS,2010.0,4445.0
228, FUR-BEARING ANIMAL AND RABBIT PRODUCTION,2014.0,4500.0
229, RACETRACKS,2014.0,4541.6
230, LIME MANUFACTURING,2015.0,4550.0
231, COMMODITY CONTRACTS BROKERAGE,2015.0,4595.76
232, FINE ARTS SCHOOLS,2014.0,4680.0
233, MUSICAL INSTRUMENT MANUFACTURING,2010.0,4683.990000000001
234, BED-AND-BREAKFAST INNS,2010.0,4729.92
235, SKIING FACILITIES,2016.0,4760.0
236," PRERECORDED TAPE, COMPACT DISC, AND RECORD STORES",2010.0,4769.0
237, OTHER TOBACCO PRODUCT MANUFACTURING,2011.0,4858.33
238, TOBACCO AND TOBACCO PRODUCT MERCHANT WHOLESALERS,2013.0,4883.68
239, OTHER PRESSED AND BLOWN GLASS AND GLASSWARE MANUFACTURING,2014.0,4915.59
240," POTASH, SODA, AND BORATE MINERAL MINING",2012.0,4937.02
241, JEWELERS' MATERIAL AND LAPIDARY WORK MANUFACTURING,2013.0,4980.88
242, KAOLIN AND BALL CLAY MINING,2012.0,4982.6
243, ALL OTHER PIPELINE TRANSPORTATION,2015.0,5000.0
244, IRON ORE MINING,2015.0,5067.78
245, TOBACCO AND TOBACCO PRODUCT MERCHANT WHOLESALERS,2011.0,5086.18
246, DRY PEA AND BEAN FARMING,2010.0,5149.0
247, GOLD ORE MINING,2011.0,5160.0
248, LUGGAGE AND LEATHER GOODS STORES,2016.0,5219.36
249, MOTOR VEHICLE TRANSMISSION AND POWER TRAIN PARTS MANUFACTURING,2014.0,5227.14
250, NEW HOUSING FOR-SALE BUILDERS,2014.0,5245.0
251, INTERNATIONAL TRADE FINANCING,2012.0,5310.0
252, BEAUTY SALONS,2012.0,5400.0
253," SCENIC AND SIGHTSEEING TRANSPORTATION, OTHER",2016.0,5440.0
254, AUTOMOTIVE EXHAUST SYSTEM REPAIR,2015.0,5441.56
255," ELECTRICAL APPLIANCE, TELEVISION, AND RADIO SET WHOLESALERS",2012.0,5448.74
256, SHORT LINE RAILROADS,2010.0,5475.0
257, SKIING FACILITIES,2010.0,5500.0
258, SECONDARY MARKET FINANCING,2016.0,5515.4
259, SHORT LINE RAILROADS,2014.0,5536.39
260, OILSEED AND GRAIN COMBINATION FARMING,2016.0,5549.7
261, COPPER ORE AND NICKEL ORE MINING,2012.0,5588.0
262, GENERAL LINE GROCERY WHOLESALERS,2012.0,5598.39
263, SNACK AND NONALCOHOLIC BEVERAGE BARS,2014.0,5600.0
264, SAVINGS INSTITUTIONS,2010.0,5642.5
265, SALES FINANCING,2014.0,5643.86
266, LUGGAGE AND LEATHER GOODS STORES,2014.0,5666.28
267, TREE NUT FARMING,2014.0,5732.7
268, ALUMINA REFINING,2010.0,5773.14
269, SECONDARY SMELTING AND ALLOYING OF ALUMINUM,2014.0,5810.71
270, HOUSE SLIPPER MANUFACTURING,2013.0,5823.0
271, PETROCHEMICAL MANUFACTURING,2014.0,5850.0
272, CONVENIENCE STORES,2013.0,5872.92
273, CITRUS (EXCEPT ORANGE) GROVES,2011.0,5890.1
274, CONFECTIONERY AND NUT STORES,2013.0,5894.4
275, APPLE ORCHARDS,2014.0,5914.13
276, NUCLEAR ELECTRIC POWER GENERATION,2016.0,5925.74
277, POSTHARVEST CROP ACTIVITIES (EXCEPT COTTON GINNING),2014.0,5952.48
278, SNACK AND NONALCOHOLIC BEVERAGE BARS,2013.0,6000.0
279," POTASH, SODA, AND BORATE MINERAL MINING",2015.0,6000.0
280, BITUMINOUS COAL AND LIGNITE SURFACE MINING,2014.0,6000.0
281, PIPELINE TRANSPORTATION OF REFINED PETROLEUM PRODUCTS,2015.0,6060.0
282, IRON ORE MINING,2011.0,6080.0
283, PHOSPHATIC FERTILIZER MANUFACTURING,2014.0,6200.0
284, POULTRY AND POULTRY PRODUCT MERCHANT WHOLESALERS,2014.0,6232.2
285, AMUSEMENT ARCADES,2011.0,6300.0
286, TURKEY PRODUCTION,2013.0,6346.55
287, SHELLFISH FARMING,2012.0,6372.64
288, POTATO FARMING,2015.0,6402.039999999999
289, BROILERS AND OTHER MEAT TYPE CHICKEN PRODUCTION,2013.0,6454.0
290, YARN SPINNING MILLS,2014.0,6544.0
291, FORMAL WEAR AND COSTUME RENTAL,2015.0,6545.45
292, HOUSEHOLD APPLIANCE STORES,2014.0,6634.11
293, PRIMARY SMELTING AND REFINING OF NONFERROUS METAL (EXCEPT COPPER AND ALUMINUM),2016.0,6664.62
294, MOTION PICTURE THEATERS (EXCEPT DRIVE-INS),2014.0,6698.87
295, APPLE ORCHARDS,2016.0,6792.0
296, COMPUTER TERMINAL MANUFACTURING,2014.0,6931.09
297, GRAPE VINEYARDS,2012.0,6934.71
298, FLOOR LAYING AND OTHER FLOOR CONTRACTORS,2015.0,6972.0
299, DANCE COMPANIES,2014.0,7000.0
300, INDUSTRIAL MACHINERY AND EQUIPMENT WHOLESALERS,2015.0,7000.0
301, ALUMINUM EXTRUDED PRODUCT MANUFACTURING,2015.0,7010.0
302, SYNTHETIC DYE AND PIGMENT MANUFACTURING,2014.0,7048.5
303, DANCE COMPANIES,2013.0,7067.0
304, LAMINATED ALUMINUM FOIL MANUFACTURING FOR FLEXIBLE PACKAGING USES,2010.0,7131.92
305, SOYBEAN PROCESSING,2013.0,7199.7
306, PHOTOFINISHING LABORATORIES (EXCEPT ONE-HOUR),2016.0,7252.72
307, DANCE COMPANIES,2015.0,7284.87
308, INTERNATIONAL TRADE FINANCING,2010.0,7293.44
309, RICE FARMING,2016.0,7388.98
310," CORPORATE, SUBSIDIARY, AND REGIONAL MANAGING OFFICES",2015.0,7410.0
311, THEATER COMPANIES AND DINNER THEATERS,2014.0,7500.0
312, PHOSPHATIC FERTILIZER MANUFACTURING,2012.0,7500.0
313, FLOOR LAYING AND OTHER FLOOR CONTRACTORS,2011.0,7503.06
314," MEN'S AND BOYS' CUT AND SEW SUIT, COAT, AND OVERCOAT MANUFACTURING",2014.0,7522.639999999999
315, STATIONERY PRODUCT MANUFACTURING,2012.0,7523.5
316, FISH AND SEAFOOD MERCHANT WHOLESALERS,2014.0,7529.3
317, CHILDREN'S AND INFANTS' CLOTHING STORES,2012.0,7533.35
318, OTHER ALUMINUM ROLLING AND DRAWING,2013.0,7552.7
319, CUTLERY AND FLATWARE (EXCEPT PRECIOUS) MANUFACTURING,2016.0,7614.15
320, MALT MANUFACTURING,2012.0,7629.07
321, POULTRY HATCHERIES,2014.0,7768.0599999999995
322, PHOSPHATIC FERTILIZER MANUFACTURING,2010.0,7875.0
323, OTHER SPECTATOR SPORTS,2010.0,8000.0
324, SHELLFISH FISHING,2015.0,8000.0
325, RICE FARMING,2014.0,8000.0
326," YARN TEXTURIZING, THROWING, AND TWISTING MILLS",2012.0,8004.0
327, OTHER PERFORMING ARTS COMPANIES,2010.0,8007.6
328, WOMEN'S CLOTHING STORES,2014.0,8045.0
329, OTHER GAMBLING INDUSTRIES,2013.0,8049.34
330, CELLULAR AND OTHER WIRELESS TELECOMMUNICATIONS,2014.0,8064.0
331," TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES",2016.0,8154.0
332, WOMEN'S AND GIRLS' CUT AND SEW DRESS MANUFACTURING,2011.0,8164.6
333, TURKEY PRODUCTION,2016.0,8189.469999999999
334, FRUIT AND VEGETABLE MARKETS,2015.0,8337.98
335, BREWERIES,2013.0,8339.779999999999
336, ALL OTHER SPECIALTY FOOD STORES,2014.0,8423.36
337, MONETARY AUTHORITIES - CENTRAL BANK,2014.0,8460.0
338, COMMODITY CONTRACTS DEALING,2016.0,8484.880000000001
339, OTHER STRUCTURAL CLAY PRODUCT MANUFACTURING,2010.0,8586.0
340, WOMEN'S AND GIRLS' CUT AND SEW DRESS MANUFACTURING,2010.0,8586.310000000001
341, ALL OTHER HEAVY CONSTRUCTION,2012.0,8744.0
342, COSTUME JEWELRY AND NOVELTY MANUFACTURING,2013.0,8775.45
343, BOWLING CENTERS,2016.0,8852.7
344, PRIMARY SMELTING AND REFINING OF COPPER,2010.0,8993.6
345, BEAUTY SALONS,2014.0,9032.53
346, OTHER PROFESSIONAL EQUIPMENT AND SUPPLIES WHOLESALERS,2015.0,9120.0
347, INORGANIC DYE AND PIGMENT MANUFACTURING,2011.0,9199.9
348, FURNITURE WHOLESALERS,2014.0,9216.67
349, MEAT MARKETS,2015.0,9240.0
350, MEAT MARKETS,2014.0,9250.0
351, MUSIC PUBLISHERS,2014.0,9333.0
352, WINERIES,2010.0,9355.52
353, CELLULOSIC ORGANIC FIBER MANUFACTURING,2010.0,9405.0
354, MALT MANUFACTURING,2015.0,9438.0
355, AUTOMOTIVE EXHAUST SYSTEM REPAIR,2010.0,9438.82
356," YARN TEXTURIZING, THROWING, AND TWISTING MILLS",2010.0,9467.15
357," KITCHEN UTENSIL, POT, AND PAN MANUFACTURING",2015.0,9468.0
358, METAL HEAT TREATING,2010.0,9500.0
359, BEAUTY SALONS,2011.0,9546.619999999999
360, RACETRACKS,2016.0,9600.0
361, CHOCOLATE AND CONFECTIONERY MANUFACTURING FROM CACAO BEANS,2010.0,9725.65
362," STATIONERY, TABLET, AND RELATED PRODUCT MANUFACTURING",2016.0,9840.0
363," WOOD TELEVISION, RADIO, AND SEWING MACHINE CABINET MANUFACTURING",2010.0,9854.96
364, GREETING CARD PUBLISHERS,2013.0,9979.2
365, SHELLFISH FARMING,2010.0,10000.0
366, GRAPE VINEYARDS,2010.0,10000.0
367, OFFICES OF OTHER HOLDING COMPANIES,2016.0,10000.0
368, INTERNATIONAL TRADE FINANCING,2011.0,10000.0
369, SKIING FACILITIES,2015.0,10000.0
370, OTHER FOOTWEAR MANUFACTURING,2016.0,10041.84
371, SECURITIES BROKERAGE,2010.0,10089.63
372, PEANUT FARMING,2013.0,10132.68
373," SEWING, NEEDLEWORK, AND PIECE GOODS STORES",2010.0,10133.48
374, SHEER HOSIERY MILLS,2011.0,10140.0
375, BRICK AND STRUCTURAL CLAY TILE MANUFACTURING,2010.0,10229.39
376," METAL CROWN, CLOSURE, AND OTHER METAL STAMPING (EXCEPT AUTOMOTIVE)",2014.0,10240.0
377, OILSEED AND GRAIN COMBINATION FARMING,2014.0,10266.59
378, DUAL-PURPOSE CATTLE RANCHING AND FARMING,2013.0,10309.0
379," WOMEN'S AND GIRLS' CUT AND SEW SUIT, COAT, TAILORED JACKET, AND SKIRT MANUFACTURING",2010.0,10377.82
380, DRINKING PLACES (ALCOHOLIC BEVERAGES),2014.0,10415.56
381, WHEAT FARMING,2016.0,10425.0
382, METAL CAN MANUFACTURING,2014.0,10454.36
383, CHOCOLATE AND CONFECTIONERY MANUFACTURING FROM CACAO BEANS,2014.0,10501.2
384, BROILERS AND OTHER MEAT TYPE CHICKEN PRODUCTION,2014.0,10538.09
385, LESSORS OF NONFINANCIAL INTANGIBLE ASSETS (EXCEPT COPYRIGHTED WORKS),2010.0,10549.0
386, JEWELRY STORES,2013.0,10563.5
387, JEWELRY STORES,2015.0,10575.0
388, COPPER FOUNDRIES (EXCEPT DIE-CASTING),2010.0,10725.96
389, CONVENTION AND VISITORS BUREAUS,2014.0,10803.07
390, POTATO FARMING,2013.0,10864.14
391, CONFECTIONERY AND NUT STORES,2010.0,10953.77
392, PAROLE OFFICES AND PROBATION OFFICES,2011.0,10964.5
393, OTHER URBAN TRANSIT SYSTEMS,2010.0,10967.74
394, OTHER GAMBLING INDUSTRIES,2012.0,11085.0
395," SEWING, NEEDLEWORK, AND PIECE GOODS STORES",2014.0,11088.13
396, RICE FARMING,2012.0,11100.0
397, POULTRY HATCHERIES,2015.0,11160.0
398, COMMERCIAL LITHOGRAPHIC PRINTING,2016.0,11210.0
399, WOMEN'S HANDBAG AND PURSE MANUFACTURING,2013.0,11340.0
