,naics_code,fiscal_year,base_and_all_options_value
6018, LANGUAGE SCHOOLS,2002,1328582.0
6019, ROOMING AND BOARDING HOUSES,2008,1330783.99
6020, MOTION PICTURE AND VIDEO DISTRIBUTION,2008,1332056.0
6021, OTHER MAJOR HOUSEHOLD APPLIANCE MANUFACTURING,2008,1332420.2699999998
6022, FOREST NURSERIES AND GATHERING OF FOREST PRODUCTS,2005,1332427.7399999998
6023, WOOD CONTAINER AND PALLET MANUFACTURING,2001,1333585.0
6024, OTHER COMMUNITY HOUSING SERVICES,2008,1333962.21
6025, SETUP PAPERBOARD BOX MANUFACTURING,2008,1334306.0
6026, SYNTHETIC ORGANIC DYE AND PIGMENT MANUFACTURING,2003,1336851.0
6027, INDUSTRIAL SAND MINING,2009,1340616.4000000001
6028, CASINOS (EXCEPT CASINO HOTELS),2006,1341545.26
6029, UNCOATED PAPER AND MULTIWALL BAG MANUFACTURING,2003,1343530.0
6030, MOTOR VEHICLE STEERING AND SUSPENSION COMPONENTS (EXCEPT SPRING) MANUFACTURING,2005,1344997.0
6031, ADMINISTRATION OF URBAN PLANNING AND COMMUNITY AND RURAL DEVELOPMENT,2009,1345762.1699999997
6032," COMMERCIAL, INDUSTRIAL, AND INSTITUTIONAL ELECTRIC LIGHTING FIXTURE MANUFACTURING",2002,1345967.0
6033, STORAGE BATTERY MANUFACTURING,2004,1347329.9100000001
6034, MASONRY CONTRACTORS,2003,1347613.0
6035, IRON AND STEEL MILLS,2001,1349903.5
6036, RUBBER AND PLASTICS FOOTWEAR MANUFACTURING,2003,1350000.0
6037, FARM LABOR CONTRACTORS AND CREW LEADERS,2007,1350128.14
6038, LINE-HAUL RAILROADS,2007,1352846.56
6039, ALL OTHER SPECIAL TRADE CONTRACTORS,2001,1352958.6099999999
6040, ELECTRONIC RESISTOR MANUFACTURING,2008,1352974.0
6041, MEN'S AND BOYS' CUT AND SEW OTHER OUTERWEAR MANUFACTURING,2005,1354308.7500000002
6042, ALUMINUM EXTRUDED PRODUCT MANUFACTURING,2005,1357571.5699999996
6043, CASINO HOTELS,2009,1359392.53
6044, HIGHWAY AND STREET CONSTRUCTION,2005,1359644.5799999998
6045, MACHINE SHOPS,2004,1360015.72
6046, JUNIOR COLLEGES,2002,1363303.0
6047, WRECKING AND DEMOLITION CONTRACTORS,2002,1364713.0
6048, COMPUTER TERMINAL MANUFACTURING,2001,1367000.0
6049, PARKING LOTS AND GARAGES,2003,1369123.75
6050, SIDING CONTRACTORS,2004,1371949.65
6051, NARROW FABRIC MILLS,2008,1372932.4699999997
6052, MINING MACHINERY AND EQUIPMENT MANUFACTURING,2006,1374878.7100000002
6053, OTHER SERVICES TO BUILDINGS AND DWELLINGS,2000,1375205.3599999999
6054," FIBER CAN, TUBE, DRUM, AND SIMILAR PRODUCTS MANUFACTURING",2006,1380105.76
6055, UPHOLSTERED HOUSEHOLD FURNITURE MANUFACTURING,2004,1380254.86
6056, ALL OTHER TRAVELER ACCOMMODATION,2005,1380480.77
6057, INLAND WATER PASSENGER TRANSPORTATION,2009,1382214.5400000003
6058, MOTOR VEHICLE PARTS (USED) MERCHANT WHOLESALERS,2008,1382993.7700000003
6059, ALL OTHER CONVERTED PAPER PRODUCT MANUFACTURING,2003,1383172.3399999999
6060, TEMPORARY SHELTERS,2005,1383965.63
6061, CEMETERIES AND CREMATORIES,2007,1384900.4
6062, ALL OTHER SPECIALTY FOOD STORES,2005,1385352.4000000001
6063, MOTORCYCLE DEALERS,2005,1386775.7599999998
6064, PAPERBOARD MILLS,2004,1387617.56
6065, CUSTOM ARCHITECTURAL WOODWORK AND MILLWORK MANUFACTURING,2007,1388230.53
6066," BOOK, PERIODICAL, AND NEWSPAPER MERCHANT WHOLESALERS",2003,1388750.23
6067," LUMBER, PLYWOOD, MILLWORK, AND WOOD PANEL WHOLESALERS",2004,1389993.4800000002
6068, OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING,2001,1393012.31
6069, STEEL FOUNDRIES (EXCEPT INVESTMENT),2006,1393434.83
6070, METAL CAN MANUFACTURING,2001,1396008.7
6071, REUPHOLSTERY AND FURNITURE REPAIR,2006,1400522.17
6072, COMMERCIAL FLEXOGRAPHIC PRINTING,2005,1401263.97
6073, COMMERCIAL SCREEN PRINTING,2004,1402097.0
6074, LOCAL MESSENGERS AND LOCAL DELIVERY,2005,1402267.26
6075, DAIRY CATTLE AND MILK PRODUCTION,2004,1402753.99
6076, BOOKS PRINTING,2001,1403387.0
6077," LAMINATED PLASTICS PLATE, SHEET (EXCEPT PACKAGING), AND SHAPE MANUFACTURING",2008,1405913.91
6078, OTHER SOCIAL ADVOCACY ORGANIZATIONS,2008,1407080.68
6079, MUSICAL GROUPS AND ARTISTS,2006,1408103.0
6080, SEWAGE TREATMENT FACILITIES,2002,1408519.01
6081, OTHER ELECTRONIC COMPONENT MANUFACTURING,2001,1414529.0
6082, MOTION PICTURE THEATERS (EXCEPT DRIVE-INS),2007,1415050.0
6083, PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING,2003,1417233.09
6084, OPHTHALMIC GOODS MERCHANT WHOLESALERS,2008,1417682.28
6085, DIE-CUT PAPER AND PAPERBOARD OFFICE SUPPLIES MANUFACTURING,2006,1419840.4600000002
6086, PETROLEUM BULK STATIONS AND TERMINALS,2003,1422919.2
6087, CORRUGATED AND SOLID FIBER BOX MANUFACTURING,2001,1423000.0
6088, PAINT AND COATING MANUFACTURING,2001,1423007.0
6089, SATELLITE TELECOMMUNICATIONS,2001,1423136.19
6090, TIRE RETREADING,2007,1423464.67
6091, PREFABRICATED WOOD BUILDING MANUFACTURING,2004,1424485.89
6092, PRINTED CIRCUIT ASSEMBLY (ELECTRONIC ASSEMBLY) MANUFACTURING,2000,1425000.0
6093, TOBACCO AND TOBACCO PRODUCT MERCHANT WHOLESALERS,2008,1425107.7399999998
6094, ALL OTHER NONMETALLIC MINERAL MINING,2008,1425498.6
6095, OTHER PERSONAL AND HOUSEHOLD GOODS REPAIR AND MAINTENANCE,2008,1425714.2899999998
6096, MARINAS,2009,1427437.7200000002
6097, DIRECT MAIL ADVERTISING,2003,1431322.68
6098, PERIODICAL PUBLISHERS,2001,1432062.3
6099, METAL STAMPING,2008,1432400.5
6100, OTHER MOTION PICTURE AND VIDEO INDUSTRIES,2001,1434023.0
6101, ALL OTHER PETROLEUM AND COAL PRODUCTS MANUFACTURING,2006,1434184.0499999998
6102, ELECTRIC HOUSEWARES AND HOUSEHOLD FAN MANUFACTURING,2002,1437864.0
6103, DRYWALL AND INSULATION CONTRACTORS,2008,1438546.5800000003
6104, FLUID POWER PUMP AND MOTOR MANUFACTURING,2003,1441659.0
6105, CONVENTION AND TRADE SHOW ORGANIZERS,2002,1442000.0
6106, CONSUMER ELECTRONICS REPAIR AND MAINTENANCE,2004,1444988.5299999998
6107, LIQUEFIED PETROLEUM GAS (BOTTLED GAS) DEALERS,2004,1445943.1299999997
6108, WOOD KITCHEN CABINET AND COUNTERTOP MANUFACTURING,2009,1446566.04
6109, ORNAMENTAL AND ARCHITECTURAL METAL WORK MANUFACTURING,2003,1447272.0
6110, APPLIANCE REPAIR AND MAINTENANCE,2003,1448208.0
6111, SOLID WASTE LANDFILL,2002,1449195.54
6112, DIRECTORY AND MAILING LIST PUBLISHERS,2008,1452741.76
6113, MOTOR VEHICLE AIR-CONDITIONING MANUFACTURING,2006,1454279.3000000003
6114, OPHTHALMIC GOODS WHOLESALERS,2006,1455569.49
6115," ROOFING, SIDING, AND INSULATION MATERIAL WHOLESALERS",2006,1456255.0
6116, EXECUTIVE OFFICES,2005,1460367.98
6117, HAZARDOUS WASTE TREATMENT AND DISPOSAL,2001,1463074.36
6118, TELEVISION BROADCASTING,2004,1463137.8
6119, MOTOR VEHICLE SUPPLIES AND NEW PARTS MERCHANT WHOLESALERS,2005,1463855.2499999998
6120, MOTOR VEHICLE BODY MANUFACTURING,2001,1464000.0
6121, PAYROLL SERVICES,2003,1464300.0
6122," COMMERCIAL AIR, RAIL, AND WATER TRANSPORTATION EQUIPMENT RENTAL AND LEASING",2003,1466207.0
6123, STRUCTURAL STEEL AND PRECAST CONCRETE CONTRACTORS,2003,1467191.0
6124, MUSICAL INSTRUMENT MANUFACTURING,2006,1467256.7200000004
6125, ALUMINUM EXTRUDED PRODUCT MANUFACTURING,2008,1468336.2799999996
6126, PUMP AND PUMPING EQUIPMENT MANUFACTURING,2004,1469709.2800000003
6127, ALL OTHER MISCELLANEOUS WOOD PRODUCT MANUFACTURING,2002,1469904.39
6128," WATCH, CLOCK, AND PART MANUFACTURING",2006,1470291.8099999977
6129, CAMERA AND PHOTOGRAPHIC SUPPLIES STORES,2004,1470873.2199999997
6130, BUILDING INSPECTION SERVICES,2000,1473190.0
6131, COASTAL AND GREAT LAKES FREIGHT TRANSPORTATION,2005,1476116.51
6132, ALUMINUM EXTRUDED PRODUCT MANUFACTURING,2004,1476642.1500000001
6133, FOREST NURSERIES AND GATHERING OF FOREST PRODUCTS,2004,1476809.8499999999
6134, OTHER CONSTRUCTION MATERIAL MERCHANT WHOLESALERS,2004,1477686.13
6135, CONVENTION AND VISITORS BUREAUS,2005,1480672.28
6136, CAMERA AND PHOTOGRAPHIC SUPPLIES STORES,2008,1486276.3599999996
6137, HOME AND GARDEN EQUIPMENT REPAIR AND MAINTENANCE,2008,1487765.6400000001
6138, PLASTICS BAG MANUFACTURING,2000,1489150.0
6139, PENSION FUNDS,2004,1491218.55
6140, PAPERBOARD MILLS,2005,1491757.2300000002
6141, NONCURRENT-CARRYING WIRING DEVICE MANUFACTURING,2002,1494951.0
6142, LIMITED-SERVICE RESTAURANTS,2008,1495615.2100000002
6143, NEWS SYNDICATES,2005,1499448.7499999998
6144, BOOK PUBLISHERS,2001,1500000.0
6145," PRERECORDED TAPE, COMPACT DISC, AND RECORD STORES",2001,1500999.0
6146, INVESTMENT BANKING AND SECURITIES DEALING,2002,1505000.0
6147, ALL OTHER LEATHER GOOD MANUFACTURING,2002,1505500.0
6148," HAT, CAP, AND MILLINERY MANUFACTURING",2008,1506899.9400000002
6149, ELECTRONIC CAPACITOR MANUFACTURING,2008,1508314.8800000006
6150, SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE) STORES,2006,1510286.4500000002
6151, PLASTICS AND RUBBER INDUSTRY MACHINERY MANUFACTURING,2007,1511884.73
6152, PARKING LOTS AND GARAGES,2001,1512068.0
6153, FARM SUPPLIES MERCHANT WHOLESALERS,2008,1514067.3900000006
6154," WATER, SEWER, AND PIPELINE CONSTRUCTION",2005,1514933.98
6155, SANITARY PAPER PRODUCT MANUFACTURING,2005,1517380.1400000001
6156, REPOSSESSION SERVICES,2008,1518178.11
6157, MOTOR VEHICLE BRAKE SYSTEM MANUFACTURING,2002,1518784.0
6158, WELDING AND SOLDERING EQUIPMENT MANUFACTURING,2000,1518830.0
6159, HOME HEALTH EQUIPMENT RENTAL,2002,1519669.23
6160, HOME FURNISHING MERCHANT WHOLESALERS,2005,1520338.1300000001
6161, MANUFACTURED HOME (MOBILE HOME) MANUFACTURING,2003,1521389.0
6162," SCENIC AND SIGHTSEEING TRANSPORTATION, WATER",2005,1521472.23
6163, ENVELOPE MANUFACTURING,2004,1522060.6500000004
6164," PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITHOUT FACILITIES",2007,1522203.58
6165, INSURANCE AGENCIES AND BROKERAGES,2008,1524545.8900000001
6166, DIE-CUT PAPER AND PAPERBOARD OFFICE SUPPLIES MANUFACTURING,2007,1527869.6999999993
6167, PETROLEUM LUBRICATING OIL AND GREASE MANUFACTURING,2006,1528519.0
6168, METAL SERVICE CENTERS AND OTHER METAL MERCHANT WHOLESALERS,2005,1528771.2100000002
6169, PAGING,2005,1531655.75
6170, FINISH CARPENTRY CONTRACTORS,2003,1534724.0
6171, CUSTOM COMPOUNDING OF PURCHASED RESINS,2006,1535614.0
6172, NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS),2003,1538764.25
6173, HORSES AND OTHER EQUINE PRODUCTION,2006,1538860.12
6174, INDUSTRIAL MOLD MANUFACTURING,2008,1540469.0
6175, INDUSTRIAL DESIGN SERVICES,2006,1542231.0
6176, VEHICULAR LIGHTING EQUIPMENT MANUFACTURING,2005,1544730.5
6177, COMPUTER TRAINING,2000,1549463.42
6178, ASSISTED LIVING FACILITIES FOR THE ELDERLY,2007,1550456.0
6179, OTHER DEPOSITORY CREDIT INTERMEDIATION,2003,1552500.0
6180, BOOK STORES,2006,1552834.7299999997
6181, WRECKING AND DEMOLITION CONTRACTORS,2004,1553407.5299999998
6182, ALL OTHER TRANSPORTATION EQUIPMENT MANUFACTURING,2004,1554432.0599999996
6183, NONCHOCOLATE CONFECTIONERY MANUFACTURING,2007,1556208.0
6184, NONRESIDENTIAL PROPERTY MANAGERS,2004,1557028.16
6185, CUTLERY AND FLATWARE (EXCEPT PRECIOUS) MANUFACTURING,2006,1559844.8299999994
6186, CABLE AND OTHER PROGRAM DISTRIBUTION,2008,1559963.6199999999
6187, GENERAL RENTAL CENTERS,2004,1560304.0999999999
6188," BLANKBOOK, LOOSELEAF BINDERS, AND DEVICES MANUFACTURING",2006,1560405.349999999
6189, TEXTILE AND FABRIC FINISHING (EXCEPT BROADWOVEN FABRIC) MILLS,2004,1562696.5699999996
6190, PRIMARY ALUMINUM PRODUCTION,2008,1563390.21
6191, OFFICE EQUIPMENT WHOLESALERS,2004,1563494.6300000006
6192, MOTOR VEHICLE STEERING AND SUSPENSION COMPONENTS (EXCEPT SPRING) MANUFACTURING,2003,1566136.0
6193, CERAMIC WALL AND FLOOR TILE MANUFACTURING,2007,1566567.5699999996
6194," PAINT, VARNISH, AND SUPPLIES MERCHANT WHOLESALERS",2008,1567644.7199999997
6195, HISTORICAL SITES,2002,1569000.0
6196, ORNAMENTAL AND ARCHITECTURAL METAL WORK MANUFACTURING,2004,1570157.85
6197, ADMINISTRATION OF VETERANS' AFFAIRS,2009,1570705.53
6198, BITUMINOUS COAL AND LIGNITE SURFACE MINING,2005,1571663.46
6199, CABLE AND OTHER PROGRAM DISTRIBUTION,2004,1571980.92
6200, AUTOMOTIVE PARTS AND ACCESSORIES STORES,2005,1572376.4299999997
6201, ELECTRONIC CAPACITOR MANUFACTURING,2003,1574822.0
6202, ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING,2000,1575000.0
6203, PAPER INDUSTRY MACHINERY MANUFACTURING,2009,1576656.0099999998
6204, IRON AND STEEL FORGING,2004,1581442.2399999998
6205, BEEF CATTLE RANCHING AND FARMING,2009,1582181.6199999996
6206," HAT, CAP, AND MILLINERY MANUFACTURING",2006,1582950.4799999997
6207, MACHINE TOOL (METAL CUTTING TYPES) MANUFACTURING,2004,1583315.2899999998
6208, DAIRY PRODUCT (EXCEPT DRIED OR CANNED) WHOLESALERS,2004,1583960.6099999999
6209, INDUSTRIAL MACHINERY AND EQUIPMENT WHOLESALERS,2004,1586542.2399999998
6210, TIRE RETREADING,2002,1586665.0
6211, HOUSEHOLD VACUUM CLEANER MANUFACTURING,2007,1587720.1799999964
6212, FREIGHT TRANSPORTATION ARRANGEMENT,2004,1589719.5999999999
6213, BOOKS PRINTING,2002,1593790.07
6214, COMMUNITY FOOD SERVICES,2005,1596046.88
6215, REGULATION AND ADMINISTRATION OF TRANSPORTATION PROGRAMS,2004,1597360.95
6216, CONVENTION AND TRADE SHOW ORGANIZERS,2003,1597378.8
6217, OTHER CHEMICAL AND FERTILIZER MINERAL MINING,2009,1598560.8
6218, SPECIAL NEEDS TRANSPORTATION,2001,1600000.0
6219, HOME FURNISHING MERCHANT WHOLESALERS,2006,1601791.7300000007
6220, LABOR UNIONS AND SIMILAR LABOR ORGANIZATIONS,2006,1605273.13
6221, DRAFTING SERVICES,2004,1605306.9900000002
6222, OTHER GENERAL GOVERNMENT SUPPORT,2002,1606224.8
6223, COASTAL AND GREAT LAKES FREIGHT TRANSPORTATION,2006,1606602.44
6224, OTHER TECHNICAL AND TRADE SCHOOLS,2003,1607279.0
6225, OIL AND GAS PIPELINE AND RELATED STRUCTURES CONSTRUCTION,2005,1610603.47
6226, PACKAGED FROZEN FOOD MERCHANT WHOLESALERS,2005,1612180.9999999998
6227, ALL OTHER TRANSPORTATION EQUIPMENT MANUFACTURING,2001,1613159.0
6228, NONFOLDING SANITARY FOOD CONTAINER MANUFACTURING,2007,1614310.2500000002
6229, CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,2006,1614789.3800000001
6230, TIMBER TRACT OPERATIONS,2005,1618808.22
6231, SOYBEAN FARMING,2005,1622699.73
6232, FINFISH FISHING,2009,1625431.7000000002
6233, PLUMBING FIXTURE FITTING AND TRIM MANUFACTURING,2005,1625451.8199999982
6234, NONFOLDING SANITARY FOOD CONTAINER MANUFACTURING,2006,1625578.8500000003
6235, TAXI SERVICE,2008,1627172.4000000001
6236, HOME AND GARDEN EQUIPMENT REPAIR AND MAINTENANCE,2006,1627485.5400000003
6237, INTERNET PUBLISHING AND BROADCASTING,2008,1628605.4499999997
6238, FARM MACHINERY AND EQUIPMENT MANUFACTURING,2004,1629358.05
6239," JEWELRY, WATCH, PRECIOUS STONE, AND PRECIOUS METAL MERCHANT WHOLESALERS",2005,1637735.5900000008
6240, SPORTING GOODS STORES,2005,1639125.9499999997
6241, DAIRY CATTLE AND MILK PRODUCTION,2005,1639249.8
6242, RUBBER AND PLASTICS HOSES AND BELTING MANUFACTURING,2006,1640203.8800000004
6243, UNCLASSIFIED ESTABLISHMENTS,2004,1640624.9300000002
6244, INDUSTRIAL MOLD MANUFACTURING,2003,1640749.0
6245, DAIRY PRODUCT (EXCEPT DRIED OR CANNED) MERCHANT WHOLESALERS,2004,1641847.3199999998
6246, JANITORIAL SERVICES,2004,1642029.23
6247, ALL OTHER TRAVEL ARRANGEMENT AND RESERVATION SERVICES,2004,1642056.8300000003
6248, OTHER SERVICES RELATED TO ADVERTISING,2005,1643525.71
6249, HOME CENTERS,2004,1644412.5200000003
6250," INDEPENDENT ARTISTS, WRITERS, AND PERFORMERS",2003,1645756.7
6251, NATURE PARKS AND OTHER SIMILAR INSTITUTIONS,2009,1646466.3599999999
6252, OTHER HOUSEHOLD TEXTILE PRODUCT MILLS,2008,1647588.1500000006
6253, BLOOD AND ORGAN BANKS,2001,1647870.0
6254, TIRE DEALERS,2007,1648234.9699999997
6255," ROOFING, SIDING, AND SHEET METAL CONTRACTORS",2005,1649519.11
6256, SOLID WASTE COMBUSTORS AND INCINERATORS,2004,1649522.9
6257, SYNTHETIC RUBBER MANUFACTURING,2008,1650433.5
6258, OTHER TELECOMMUNICATIONS,2000,1652155.0
6259, SEMICONDUCTOR MACHINERY MANUFACTURING,2008,1652339.17
6260, OTHER WAREHOUSING AND STORAGE,2002,1653439.65
6261, ALL OTHER MISCELLANEOUS AMBULATORY HEALTH CARE SERVICES,2000,1654435.8
6262, TRAVEL AGENCIES,2001,1658144.5
6263," WATER, SEWER, AND PIPELINE CONSTRUCTION",2006,1658706.07
6264, MEN'S AND BOYS' CUT AND SEW OTHER OUTERWEAR MANUFACTURING,2002,1659579.44
6265, NEW HOUSING FOR-SALE BUILDERS,2009,1660670.76
6266, PLASTICS PACKAGING FILM AND SHEET (INCLUDING LAMINATED) MANUFACTURING,2009,1663772.2200000004
6267, SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING,2005,1664117.4400000004
6268," ROOFING, SIDING, AND SHEET METAL CONTRACTORS",2009,1664127.02
6269, LESSORS OF NONFINANCIAL INTANGIBLE ASSETS (EXCEPT COPYRIGHTED WORKS),2007,1664416.2
6270," ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING",2006,1666037.1200000003
6271, WOOD PRESERVATION,2006,1667284.26
6272, WOOD WINDOW AND DOOR MANUFACTURING,2000,1670000.0
6273, FULL-SERVICE RESTAURANTS,2008,1671777.79
6274, TEXTILE MACHINERY MANUFACTURING,2006,1671890.25
6275, MEN'S AND BOYS' CUT AND SEW APPAREL CONTRACTORS,2004,1672375.0399999998
6276, ALL OTHER SUPPORT ACTIVITIES FOR TRANSPORTATION,2006,1672780.6000000003
6277," BLANKBOOK, LOOSELEAF BINDERS, AND DEVICES MANUFACTURING",2004,1677217.5399999998
6278, HOUSEHOLD LAUNDRY EQUIPMENT MANUFACTURING,2004,1677857.92
6279, ADMINISTRATION OF CONSERVATION PROGRAMS,2008,1678309.12
6280, OTHER MISCELLANEOUS DURABLE GOODS WHOLESALERS,2004,1679283.7599999998
6281, OTHER SPECIALIZED DESIGN SERVICES,2001,1679650.0
6282, RECORD PRODUCTION,2001,1686882.0
6283," MOTORCYCLE, BICYCLE, AND PARTS MANUFACTURING",2006,1689454.5399999993
6284, HAY FARMING,2004,1690189.19
6285, OFFICES OF DENTISTS,2002,1692570.0
6286, LINE-HAUL RAILROADS,2009,1692864.57
6287," LAMINATED PLASTICS PLATE, SHEET (EXCEPT PACKAGING), AND SHAPE MANUFACTURING",2004,1692939.8
6288, TELEVISION BROADCASTING,2008,1693839.45
6289, LESSORS OF MINIWAREHOUSES AND SELF-STORAGE UNITS,2008,1695614.8499999996
6290, ALKALIES AND CHLORINE MANUFACTURING,2007,1695707.56
6291, ALL OTHER MISCELLANEOUS CROP FARMING,2007,1695844.2199999997
6292, OTHER ORDNANCE AND ACCESSORIES MANUFACTURING,2004,1696657.91
6293, FINFISH FARMING AND FISH HATCHERIES,2009,1697265.3800000001
6294, ALL OTHER MISCELLANEOUS STORE RETAILERS (EXCEPT TOBACCO STORES),2001,1700000.0
6295, PRINTING MACHINERY AND EQUIPMENT MANUFACTURING,2001,1704546.6
6296, NEWSPRINT MILLS,2006,1707496.2900000003
6297, INDUSTRIAL AND PERSONAL SERVICE PAPER MERCHANT WHOLESALERS,2006,1707915.8899999992
6298, DENTAL LABORATORIES,2008,1708062.8899999994
6299, COFFEE AND TEA MANUFACTURING,2003,1708390.0
6300, TIMBER TRACT OPERATIONS,2009,1712704.2000000002
6301," STATIONERY, TABLET, AND RELATED PRODUCT MANUFACTURING",2005,1712930.2000000016
6302, SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),2007,1713448.27
6303, ADMINISTRATION OF AIR AND WATER RESOURCE AND SOLID WASTE MANAGEMENT PROGRAMS,2004,1714364.44
6304, COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,2003,1714900.0
6305, SEMICONDUCTOR MACHINERY MANUFACTURING,2004,1715755.54
6306, CONSTRUCTION SAND AND GRAVEL MINING,2000,1719000.0
6307," INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING",2002,1719169.0
6308, PRINTING INK MANUFACTURING,2009,1720140.4200000004
6309, OTHER INDIVIDUAL AND FAMILY SERVICES,2001,1721663.05
6310, IRON AND STEEL PIPE AND TUBE MANUFACTURING FROM PURCHASED STEEL,2006,1722513.3599999994
6311, NITROGENOUS FERTILIZER MANUFACTURING,2009,1722527.57
6312, NONWOVEN FABRIC MILLS,2006,1724581.649999999
6313, OFFICES OF PODIATRISTS,2009,1725335.2
6314, TILE AND TERRAZZO CONTRACTORS,2008,1725644.82
6315, FOOTWEAR MERCHANT WHOLESALERS,2006,1729147.1500000004
6316, OTHER SUPPORT ACTIVITIES FOR ROAD TRANSPORTATION,2003,1730094.0
6317, RAILROAD ROLLING STOCK MANUFACTURING,2005,1732080.0
6318, COATED AND LAMINATED PACKAGING PAPER AND PLASTICS FILM MANUFACTURING,2005,1732256.18
6319, FLUID POWER PUMP AND MOTOR MANUFACTURING,2008,1732311.1899999997
6320, OTHER ENGINE EQUIPMENT MANUFACTURING,2004,1733990.3500000006
6321," NURSERY, GARDEN CENTER, AND FARM SUPPLY STORES",2006,1734141.4699999997
6322, DRY PEA AND BEAN FARMING,2007,1734727.13
6323," RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES",2004,1735670.0
6324, RESIDENTIAL MENTAL HEALTH AND SUBSTANCE ABUSE FACILITIES,2008,1737639.4000000004
6325, PETROCHEMICAL MANUFACTURING,2009,1743006.85
6326, OTHER DEPOSITORY CREDIT INTERMEDIATION,2005,1744947.8499999999
6327, CONCRETE BLOCK AND BRICK MANUFACTURING,2007,1746475.9000000001
6328, FUNERAL HOMES AND FUNERAL SERVICES,2002,1747641.0
6329, SHEET METAL WORK MANUFACTURING,2002,1749833.0
6330, PAPER (EXCEPT NEWSPRINT) MILLS,2001,1749999.0
6331, POLISH AND OTHER SANITATION GOOD MANUFACTURING,2002,1750001.0
6332, ALL OTHER TRAVEL ARRANGEMENT AND RESERVATION SERVICES,2003,1751080.45
6333, CERAMIC WALL AND FLOOR TILE MANUFACTURING,2009,1751792.4800000004
6334, OTHER ORDNANCE AND ACCESSORIES MANUFACTURING,2001,1752000.0
6335, TEXTILE MACHINERY MANUFACTURING,2007,1753878.3699999999
6336," MILITARY ARMORED VEHICLE, TANK, AND TANK COMPONENT MANUFACTURING",2001,1755580.0
6337, UNLAMINATED PLASTICS PROFILE SHAPE MANUFACTURING,2007,1755837.3299999998
6338, TIRE AND TUBE MERCHANT WHOLESALERS,2009,1760007.99
6339, MULTIFAMILY HOUSING CONSTRUCTION,2008,1768380.8499999999
6340, CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,2007,1769310.28
6341, OILSEED AND GRAIN COMBINATION FARMING,2005,1769500.0
6342, VEHICULAR LIGHTING EQUIPMENT MANUFACTURING,2003,1769823.0
6343, LIBRARIES AND ARCHIVES,2008,1771341.4
6344, SPORTING AND RECREATIONAL GOODS AND SUPPLIES MERCHANT WHOLESALERS,2005,1771412.539999999
6345, INDUSTRIAL SAND MINING,2007,1771648.54
6346, ELECTRONIC CAPACITOR MANUFACTURING,2005,1772538.2799999998
6347," ELECTRICAL APPARATUS AND EQUIPMENT, WIRING SUPPLIES, AND RELATED EQUIPMENT MERCHANT  WHOLESALERS",2004,1773239.9800000002
6348, AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING,2003,1776113.25
6349, FAMILY PLANNING CENTERS,2003,1776376.0
6350, POWER-DRIVEN HANDTOOL MANUFACTURING,2004,1776514.430000007
6351, ART DEALERS,2007,1776963.6900000002
6352, PIPELINE TRANSPORTATION OF NATURAL GAS,2008,1776979.8200000003
6353, PACKAGED FROZEN FOOD MERCHANT WHOLESALERS,2006,1778282.2600000002
6354, NATURAL GAS DISTRIBUTION,2005,1778406.0
6355, OTHER PROFESSIONAL EQUIPMENT AND SUPPLIES WHOLESALERS,2004,1779026.7899999998
6356, STATIONERY AND OFFICE SUPPLIES MERCHANT WHOLESALERS,2004,1779430.7800000007
6357, LIBRARIES AND ARCHIVES,2002,1780475.0
6358, MINING MACHINERY AND EQUIPMENT MANUFACTURING,2009,1781623.8900000004
6359, OTHER MISCELLANEOUS NONDURABLE GOODS MERCHANT WHOLESALERS,2008,1781735.74
6360, CONSTRUCTION AND MINING (EXCEPT OIL WELL) MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS,2004,1782955.24
6361," REGULATION AND ADMINISTRATION OF COMMUNICATIONS, ELECTRIC, GAS, AND OTHER UTILITIES",2005,1783214.4799999993
6362," STATIONERY, TABLET, AND RELATED PRODUCT MANUFACTURING",2008,1783325.81
6363, CATTLE FEEDLOTS,2008,1784829.08
6364, JEWELRY (EXCEPT COSTUME) MANUFACTURING,2007,1786391.73
6365, DEPARTMENT STORES (EXCEPT DISCOUNT DEPARTMENT STORES),2003,1788490.2999999998
