,naics_code,fiscal_year,base_and_all_options_value
179, OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING,2001,0.0
180, OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,2009,0.0
181, SCIENTIFIC RESEARCH AND DEVELOPMENT SERVICES,2001,0.0
182, SCIENTIFIC RESEARCH AND DEVELOPMENT SERVICES,2002,0.0
183, COMPUTER AND PERIPHERAL EQUIPMENT MANUFACTURING,2001,0.0
184, SCIENTIFIC RESEARCH AND DEVELOPMENT SERVICES,2003,0.0
185, NONWOVEN FABRIC MILLS,2002,0.0
186, SCIENTIFIC RESEARCH AND DEVELOPMENT SERVICES,2007,0.0
187," RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES",2001,0.0
188, RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,2001,0.0
189," RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES",2007,0.0
190," RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES",2009,0.0
191," RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",2002,0.0
192, NONWOVEN FABRIC MILLS,2001,0.0
193, LIMITED-SERVICE RESTAURANTS,2002,0.0
194, OTHER SERVICES RELATED TO ADVERTISING,2001,0.0
195," SCALE AND BALANCE MANUFACTURING (2007), SCALE AND BALANCE (EXCEPT LABORATORY) MANUFACTURING (2002)",2001,0.0
196, ROOMING AND BOARDING HOUSES,2001,0.0
197," ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",2002,0.0
198," ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",2003,0.0
199," ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",2005,0.0
200," ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",2006,0.0
201, MANAGEMENT OF COMPANIES AND ENTERPRISES,2001,0.0
202, OFFICES OF BANK HOLDING COMPANIES,2000,0.0
203, OFFICES OF BANK HOLDING COMPANIES,2001,0.0
204, OFFICES OF BANK HOLDING COMPANIES,2002,0.0
205," OVERHEAD TRAVELING CRANE, HOIST, AND MONORAIL SYSTEM MANUFACTURING",2000,0.0
206, RECREATIONAL AND VACATION CAMPS (EXCEPT CAMPGROUNDS),2002,0.0
207, OTHER HOUSEHOLD TEXTILE PRODUCT MILLS,2001,0.0
208, OFFICES OF BANK HOLDING COMPANIES,2005,0.0
209, CONVEYOR AND CONVEYING EQUIPMENT MANUFACTURING,2003,0.0
210, CONVEYOR AND CONVEYING EQUIPMENT MANUFACTURING,2001,0.0
211, VETERINARY SERVICES,2001,0.0
212, WELDING AND SOLDERING EQUIPMENT MANUFACTURING,2002,0.0
213, TRANSLATION AND INTERPRETATION SERVICES,2001,0.0
214, COMMERCIAL PHOTOGRAPHY,2002,0.0
215, TEXTILE AND FABRIC FINISHING (EXCEPT BROADWOVEN FABRIC) MILLS,2001,0.0
216, TEXTILE AND FABRIC FINISHING (EXCEPT BROADWOVEN FABRIC) MILLS,2002,0.0
217, TEXTILE AND FABRIC FINISHING (EXCEPT BROADWOVEN FABRIC) MILLS,2003,0.0
218," PHOTOGRAPHY STUDIOS, PORTRAIT",2001,0.0
219, FLUID POWER PUMP AND MOTOR MANUFACTURING,2001,0.0
220, FULL-SERVICE RESTAURANTS,2002,0.0
221, FULL-SERVICE RESTAURANTS,2001,0.0
222," OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",2001,0.0
223, FLUID POWER CYLINDER AND ACTUATOR MANUFACTURING,2002,0.0
224, FLUID POWER CYLINDER AND ACTUATOR MANUFACTURING,2000,0.0
225, INDUSTRIAL PROCESS FURNACE AND OVEN MANUFACTURING,2003,0.0
226, INDUSTRIAL PROCESS FURNACE AND OVEN MANUFACTURING,2002,0.0
227, INDUSTRIAL PROCESS FURNACE AND OVEN MANUFACTURING,2001,0.0
228, COMMERCIAL PHOTOGRAPHY,2001,0.0
229, ROOMING AND BOARDING HOUSES,2003,0.0
230, ROOMING AND BOARDING HOUSES,2002,0.0
231, FLUID POWER CYLINDER AND ACTUATOR MANUFACTURING,2001,0.0
232, LIMITED-SERVICE RESTAURANTS,2003,0.0
233, ENVIRONMENTAL CONSULTING SERVICES,2004,0.0
234, ENVIRONMENTAL CONSULTING SERVICES,2002,0.0
235, ENGINEERING SERVICES,2001,0.0
236, ENGINEERING SERVICES,2002,0.0
237, DISTILLERIES,2002,0.0
238, DISTILLERIES,2004,0.0
239, ENGINEERING SERVICES,2003,0.0
240, ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS MANUFACTURING,2000,0.0
241, DRAFTING SERVICES,2001,0.0
242, TOBACCO STEMMING AND REDRYING,2001,0.0
243, TOBACCO STEMMING AND REDRYING,2002,0.0
244, TOBACCO STEMMING AND REDRYING,2003,0.0
245, DRAFTING SERVICES,2001,0.0
246, OTHER ELECTRONIC COMPONENT MANUFACTURING,2000,0.0
247, CIGARETTE MANUFACTURING,2001,0.0
248, CIGARETTE MANUFACTURING,2002,0.0
249, CIGARETTE MANUFACTURING,2003,0.0
250, ENGINEERING SERVICES,2000,0.0
251, WINERIES,2004,0.0
252, ARCHITECTURAL SERVICES,2003,0.0
253, ARCHITECTURAL SERVICES,2002,0.0
254, OFFICES OF NOTARIES,2002,0.0
255, OTHER LEGAL SERVICES,2001,0.0
256," ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES",2001,0.0
257, TAX PREPARATION SERVICES,2001,0.0
258, TAX PREPARATION SERVICES,2002,0.0
259, TAX PREPARATION SERVICES,2003,0.0
260, ICE MANUFACTURING,2000,0.0
261, CIGARETTE MANUFACTURING,2005,0.0
262, ICE MANUFACTURING,2001,0.0
263, PAYROLL SERVICES,2001,0.0
264," CAFETERIAS, GRILL BUFFETS, AND BUFFETS",2002,0.0
265," ARCHITECTURAL, ENGINEERING, AND RELATED SERVICES",2001,0.0
266," AUTOMATIC ENVIRONMENTAL CONTROL MANUFACTURING FOR RESIDENTIAL, COMMERCIAL, AND APPLIANCE USE",2000,0.0
267, BREWERIES,2001,0.0
268, BREWERIES,2002,0.0
269, BREWERIES,2006,0.0
270, TAX PREPARATION SERVICES,2008,0.0
271, CIGARETTE MANUFACTURING,2006,0.0
272, BUILDING INSPECTION SERVICES,2001,0.0
273, GEOPHYSICAL SURVEYING AND MAPPING SERVICES,2001,0.0
274, INTERIOR DESIGN SERVICES,2001,0.0
275, ELECTRONIC CAPACITOR MANUFACTURING,2001,0.0
276, ELECTRONIC CAPACITOR MANUFACTURING,2000,0.0
277, INDUSTRIAL DESIGN SERVICES,2001,0.0
278, SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING,2000,0.0
279, GRAPHIC DESIGN SERVICES,2001,0.0
280," CAFETERIAS, GRILL BUFFETS, AND BUFFETS",2001,0.0
281, ELECTRONIC RESISTOR MANUFACTURING,2001,0.0
282, GRAPHIC DESIGN SERVICES,2004,0.0
283, GRAPHIC DESIGN SERVICES,2000,0.0
284, COMPUTER SYSTEMS DESIGN AND RELATED SERVICES,2001,0.0
285, COMPUTER SYSTEMS DESIGN AND RELATED SERVICES,2001,0.0
286, MANAGEMENT CONSULTING SERVICES,2001,0.0
287, AUDIO AND VIDEO EQUIPMENT MANUFACTURING,2000,0.0
288, AUDIO AND VIDEO EQUIPMENT MANUFACTURING,2001,0.0
289, ENVIRONMENTAL CONSULTING SERVICES,2001,0.0
290, BARE PRINTED CIRCUIT BOARD MANUFACTURING,2000,0.0
291, MEAT PROCESSED FROM CARCASSES,2000,0.0
292, TESTING LABORATORIES,2001,0.0
293, THREAD MILLS,2002,0.0
294, OTHER TOBACCO PRODUCT MANUFACTURING,2003,0.0
295, YARN SPINNING MILLS,2001,0.0
296, YARN SPINNING MILLS,2002,0.0
297, YARN SPINNING MILLS,2003,0.0
298, GEOPHYSICAL SURVEYING AND MAPPING SERVICES,2000,0.0
299, SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES,2001,0.0
300, SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES,2002,0.0
301, THREAD MILLS,2003,0.0
302, SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES,2003,0.0
303," YARN TEXTURIZING, THROWING, AND TWISTING MILLS",2000,0.0
304," YARN TEXTURIZING, THROWING, AND TWISTING MILLS",2001,0.0
305," YARN TEXTURIZING, THROWING, AND TWISTING MILLS",2002,0.0
306," YARN TEXTURIZING, THROWING, AND TWISTING MILLS",2003,0.0
307, SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES,2000,0.0
308," CAPACITOR, RESISTOR, COIL, TRANSFORMER, AND OTHER INDUCTOR MANUFACTURING",2001,0.0
309, THREAD MILLS,2001,0.0
310, SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES,2007,0.0
311, HEALTH AND WELFARE FUNDS,2003,0.0
312, HEALTH AND WELFARE FUNDS,2002,0.0
313, HEALTH AND WELFARE FUNDS,2001,0.0
314, DENTAL LABORATORIES,2001,0.0
315, DENTAL LABORATORIES,2000,0.0
316, SAVINGS INSTITUTIONS,2003,0.0
317, OTHER PERSONAL CARE SERVICES,2002,0.0
318, OTHER PERSONAL CARE SERVICES,2001,0.0
319, OTHER BUILDING FINISHING CONTRACTORS,2001,0.0
320, OTHER BUILDING FINISHING CONTRACTORS,2002,0.0
321, CREDIT UNIONS,2003,0.0
322, DIET AND WEIGHT REDUCING CENTERS,2005,0.0
323, DIET AND WEIGHT REDUCING CENTERS,2002,0.0
324, OTHER DEPOSITORY CREDIT INTERMEDIATION,2000,0.0
325, OTHER DEPOSITORY CREDIT INTERMEDIATION,2001,0.0
326, OTHER DEPOSITORY CREDIT INTERMEDIATION,2002,0.0
327, NAIL SALONS,2004,0.0
328, CREDIT CARD ISSUING,2002,0.0
329, COMMERCIAL BANKING,2002,0.0
330, FINISH CARPENTRY CONTRACTORS,2000,0.0
331, JEWELRY (EXCEPT COSTUME) MANUFACTURING,2001,0.0
332, JEWELRY (EXCEPT COSTUME) MANUFACTURING,2004,0.0
333, DOLL AND STUFFED TOY MANUFACTURING,2003,0.0
334, CEMETERIES AND CREMATORIES,2001,0.0
335, DOLL AND STUFFED TOY MANUFACTURING,2002,0.0
336, COSTUME JEWELRY AND NOVELTY MANUFACTURING,2003,0.0
337, FLOORING CONTRACTORS,2001,0.0
338, FLOORING CONTRACTORS,2002,0.0
339, FUNERAL HOMES AND FUNERAL SERVICES,2000,0.0
340, CREDIT CARD ISSUING,2004,0.0
341, COSTUME JEWELRY AND NOVELTY MANUFACTURING,2002,0.0
342, JEWELERS' MATERIAL AND LAPIDARY WORK MANUFACTURING,2007,0.0
343, JEWELERS' MATERIAL AND LAPIDARY WORK MANUFACTURING,2006,0.0
344, JEWELERS' MATERIAL AND LAPIDARY WORK MANUFACTURING,2004,0.0
345, SILVERWARE AND HOLLOWWARE MANUFACTURING,2009,0.0
346, SILVERWARE AND HOLLOWWARE MANUFACTURING,2004,0.0
347, SILVERWARE AND HOLLOWWARE MANUFACTURING,2003,0.0
348, SILVERWARE AND HOLLOWWARE MANUFACTURING,2001,0.0
349, COSTUME JEWELRY AND NOVELTY MANUFACTURING,2001,0.0
350, DOLL AND STUFFED TOY MANUFACTURING,2005,0.0
351, SALES FINANCING,2000,0.0
352, BEAUTY SALONS,2002,0.0
353, BARBER SHOPS,2002,0.0
354, BARBER SHOPS,2001,0.0
355, INTERNATIONAL TRADE FINANCING,2001,0.0
356, INTERNATIONAL TRADE FINANCING,2003,0.0
357, INTERNATIONAL TRADE FINANCING,2004,0.0
358, RICE MILLING,2000,0.0
359, RICE MILLING,2001,0.0
360, RICE MILLING,2002,0.0
361, CUSTOM ARCHITECTURAL WOODWORK AND MILLWORK MANUFACTURING,2002,0.0
362, OTHER PERSONAL AND HOUSEHOLD GOODS REPAIR AND MAINTENANCE,2001,0.0
363, OTHER PERSONAL AND HOUSEHOLD GOODS REPAIR AND MAINTENANCE,2000,0.0
364, CUSTOM ARCHITECTURAL WOODWORK AND MILLWORK MANUFACTURING,2001,0.0
365," WOOD TELEVISION, RADIO, AND SEWING MACHINE CABINET MANUFACTURING",2003,0.0
366, WET CORN MILLING,2001,0.0
367, WET CORN MILLING,2002,0.0
368, BARBER SHOPS,2003,0.0
369, FLOUR MILLING,2003,0.0
370, FLOUR MILLING,2002,0.0
371, FLOUR MILLING,2001,0.0
372, BEAUTY SALONS,2001,0.0
373, DOG AND CAT FOOD MANUFACTURING,2000,0.0
374, DOG AND CAT FOOD MANUFACTURING,2001,0.0
375, DOG AND CAT FOOD MANUFACTURING,2002,0.0
376, SALES FINANCING,2003,0.0
377, MISCELLANEOUS MANUFACTURING,2001,0.0
378, CONSUMER LENDING,2002,0.0
379, SALES FINANCING,2001,0.0
380, OTHER ANIMAL FOOD MANUFACTURING,2000,0.0
381, MATTRESS MANUFACTURING,2000,0.0
382, CONSUMER LENDING,2008,0.0
383, REAL ESTATE CREDIT,2001,0.0
384, REAL ESTATE CREDIT,2002,0.0
385, REAL ESTATE CREDIT,2003,0.0
386, BARBER SHOPS,2004,0.0
387, FLOUR MILLING,2000,0.0
388, OTHER ANIMAL FOOD MANUFACTURING,2001,0.0
389, CEMETERIES AND CREMATORIES,2002,0.0
390, ALL OTHER INFORMATION SERVICES,2001,0.0
391, PEN AND MECHANICAL PENCIL MANUFACTURING,2001,0.0
392, HOME FURNISHING WHOLESALERS,2003,0.0
393, HOME FURNISHING WHOLESALERS,2002,0.0
394, HOME FURNISHING WHOLESALERS,2001,0.0
395, FURNITURE WHOLESALERS,2003,0.0
396, FURNITURE WHOLESALERS,2002,0.0
397, FURNITURE WHOLESALERS,2001,0.0
398, FURNITURE WHOLESALERS,2000,0.0
399, FURNITURE AND HOME FURNISHING WHOLESALERS,2001,0.0
400, MASONRY CONTRACTORS,2002,0.0
401, MOTOR VEHICLE PARTS (USED) WHOLESALERS,2003,0.0
402, PARKING LOTS AND GARAGES,2000,0.0
403, ONE-HOUR PHOTOFINISHING,2003,0.0
404, ONE-HOUR PHOTOFINISHING,2001,0.0
405, GLASS AND GLAZING CONTRACTORS,2003,0.0
406, MOTOR VEHICLE PARTS (USED) WHOLESALERS,2002,0.0
407, ALL OTHER PERSONAL SERVICES,2001,0.0
408, HOME FURNISHING WHOLESALERS,2005,0.0
409," LUMBER, PLYWOOD, MILLWORK, AND WOOD PANEL WHOLESALERS",2001,0.0
410," LUMBER, PLYWOOD, MILLWORK, AND WOOD PANEL WHOLESALERS",2000,0.0
411, OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION,2000,0.0
412," ROOFING, SIDING, AND INSULATION MATERIAL WHOLESALERS",2003,0.0
413," ROOFING, SIDING, AND INSULATION MATERIAL WHOLESALERS",2002,0.0
414," ROOFING, SIDING, AND INSULATION MATERIAL WHOLESALERS",2001,0.0
415, GRANTMAKING FOUNDATIONS,2003,0.0
416, GRANTMAKING FOUNDATIONS,2002,0.0
417, GRANTMAKING FOUNDATIONS,2001,0.0
418, MOTOR VEHICLE PARTS (USED) WHOLESALERS,2001,0.0
419," BRICK, STONE, AND RELATED CONSTRUCTION MATERIAL WHOLESALERS",2009,0.0
